code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades
1311.T,1,1.2,2.0,1.0,0.02,0.02,0.14285714285714285,0.15,14
1311.T,1,1.2,2.0,1.0,0.02,0.05,0.14285714285714285,0.15,14
1311.T,1,1.2,2.0,1.0,0.05,0.02,0.14285714285714285,0.15,14
1311.T,1,1.2,2.0,1.0,0.05,0.05,0.14285714285714285,0.15,14
1311.T,2,0.8,1.5,0.6,0.02,0.02,0.13333333333333333,0.0927536231884058,30
1311.T,2,0.8,1.5,0.6,0.02,0.05,0.13333333333333333,0.0927536231884058,30
1311.T,2,0.8,1.5,0.6,0.05,0.02,0.13333333333333333,0.0927536231884058,30
1311.T,2,0.8,1.5,0.6,0.05,0.05,0.13333333333333333,0.0927536231884058,30
1311.T,2,0.8,1.5,0.8,0.02,0.02,0.13793103448275862,0.09696969696969697,29
1311.T,2,0.8,1.5,0.8,0.02,0.05,0.13793103448275862,0.09696969696969697,29
1311.T,2,0.8,1.5,0.8,0.05,0.02,0.13793103448275862,0.09696969696969697,29
1311.T,2,0.8,1.5,0.8,0.05,0.05,0.13793103448275862,0.09696969696969697,29
1311.T,2,0.8,1.5,1.0,0.02,0.02,0.1111111111111111,0.07272727272727274,27
1311.T,2,0.8,1.5,1.0,0.02,0.05,0.1111111111111111,0.07272727272727274,27
1311.T,2,0.8,1.5,1.0,0.05,0.02,0.1111111111111111,0.07272727272727274,27
1311.T,2,0.8,1.5,1.0,0.05,0.05,0.1111111111111111,0.07272727272727274,27
1311.T,2,0.8,2.0,0.6,0.02,0.02,0.16666666666666666,0.09090909090909091,30
1311.T,2,0.8,2.0,0.6,0.02,0.05,0.16666666666666666,0.09090909090909091,30
1311.T,2,0.8,2.0,0.6,0.05,0.02,0.16666666666666666,0.09090909090909091,30
1311.T,2,0.8,2.0,0.6,0.05,0.05,0.16666666666666666,0.09090909090909091,30
1311.T,2,0.8,2.0,0.8,0.02,0.02,0.1724137931034483,0.09523809523809523,29
1311.T,2,0.8,2.0,0.8,0.02,0.05,0.1724137931034483,0.09523809523809523,29
1311.T,2,0.8,2.0,0.8,0.05,0.02,0.1724137931034483,0.09523809523809523,29
1311.T,2,0.8,2.0,0.8,0.05,0.05,0.1724137931034483,0.09523809523809523,29
1311.T,2,0.8,2.0,1.0,0.02,0.02,0.14814814814814814,0.0761904761904762,27
1311.T,2,0.8,2.0,1.0,0.02,0.05,0.14814814814814814,0.0761904761904762,27
1311.T,2,0.8,2.0,1.0,0.05,0.02,0.14814814814814814,0.0761904761904762,27
1311.T,2,0.8,2.0,1.0,0.05,0.05,0.14814814814814814,0.0761904761904762,27
1311.T,2,1.0,1.5,0.6,0.02,0.02,0.13333333333333333,0.11594202898550725,30
