code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades
138A.T,2,1.0,1.5,0.6,0.02,0.02,0.375,0.4,8
138A.T,2,1.0,1.5,0.6,0.02,0.05,0.5,0.6666666666666666,6
138A.T,2,1.0,1.5,0.6,0.05,0.02,0.375,0.4,8
138A.T,2,1.0,1.5,0.6,0.05,0.05,0.5,0.6666666666666666,6
138A.T,2,1.0,1.5,0.8,0.02,0.02,0.2857142857142857,0.26666666666666666,7
138A.T,2,1.0,1.5,0.8,0.02,0.05,0.4,0.4444444444444444,5
138A.T,2,1.0,1.5,0.8,0.05,0.02,0.2857142857142857,0.26666666666666666,7
138A.T,2,1.0,1.5,0.8,0.05,0.05,0.4,0.4444444444444444,5
138A.T,2,1.0,1.5,1.0,0.02,0.02,0.2,0.16666666666666666,5
138A.T,2,1.0,1.5,1.0,0.02,0.05,0.25,0.2222222222222222,4
138A.T,2,1.0,1.5,1.0,0.05,0.02,0.2,0.16666666666666666,5
138A.T,2,1.0,1.5,1.0,0.05,0.05,0.25,0.2222222222222222,4
138A.T,2,1.0,2.0,0.6,0.02,0.02,0.375,0.3,8
138A.T,2,1.0,2.0,0.6,0.02,0.05,0.5,0.5,6
138A.T,2,1.0,2.0,0.6,0.05,0.02,0.375,0.3,8
138A.T,2,1.0,2.0,0.6,0.05,0.05,0.5,0.5,6
138A.T,2,1.0,2.0,0.8,0.02,0.02,0.2857142857142857,0.2,7
138A.T,2,1.0,2.0,0.8,0.02,0.05,0.4,0.3333333333333333,5
138A.T,2,1.0,2.0,0.8,0.05,0.02,0.2857142857142857,0.2,7
138A.T,2,1.0,2.0,0.8,0.05,0.05,0.4,0.3333333333333333,5
138A.T,2,1.0,2.0,1.0,0.02,0.02,0.2,0.125,5
138A.T,2,1.0,2.0,1.0,0.02,0.05,0.25,0.16666666666666666,4
138A.T,2,1.0,2.0,1.0,0.05,0.02,0.2,0.125,5
138A.T,2,1.0,2.0,1.0,0.05,0.05,0.25,0.16666666666666666,4
138A.T,2,1.2,1.5,0.6,0.02,0.02,0.375,0.4799999999999999,8
138A.T,2,1.2,1.5,0.6,0.02,0.05,0.5,0.7999999999999999,6
138A.T,2,1.2,1.5,0.6,0.05,0.02,0.375,0.4799999999999999,8
138A.T,2,1.2,1.5,0.6,0.05,0.05,0.5,0.7999999999999999,6
138A.T,2,1.2,1.5,0.8,0.02,0.02,0.2857142857142857,0.32,7
138A.T,2,1.2,1.5,0.8,0.02,0.05,0.4,0.5333333333333333,5
138A.T,2,1.2,1.5,0.8,0.05,0.02,0.2857142857142857,0.32,7
138A.T,2,1.2,1.5,0.8,0.05,0.05,0.4,0.5333333333333333,5
138A.T,2,1.2,1.5,1.0,0.02,0.02,0.2,0.19999999999999998,5
138A.T,2,1.2,1.5,1.0,0.02,0.05,0.25,0.26666666666666666,4
138A.T,2,1.2,1.5,1.0,0.05,0.02,0.2,0.19999999999999998,5
138A.T,2,1.2,1.5,1.0,0.05,0.05,0.25,0.26666666666666666,4
138A.T,2,1.2,2.0,0.6,0.02,0.02,0.375,0.36,8
138A.T,2,1.2,2.0,0.6,0.02,0.05,0.5,0.6,6
138A.T,2,1.2,2.0,0.6,0.05,0.02,0.375,0.36,8
138A.T,2,1.2,2.0,0.6,0.05,0.05,0.5,0.6,6
138A.T,2,1.2,2.0,0.8,0.02,0.02,0.2857142857142857,0.24,7
138A.T,2,1.2,2.0,0.8,0.02,0.05,0.4,0.39999999999999997,5
138A.T,2,1.2,2.0,0.8,0.05,0.02,0.2857142857142857,0.24,7
138A.T,2,1.2,2.0,0.8,0.05,0.05,0.4,0.39999999999999997,5
138A.T,2,1.2,2.0,1.0,0.02,0.02,0.2,0.15,5
138A.T,2,1.2,2.0,1.0,0.02,0.05,0.25,0.19999999999999998,4
138A.T,2,1.2,2.0,1.0,0.05,0.02,0.2,0.15,5
138A.T,2,1.2,2.0,1.0,0.05,0.05,0.25,0.19999999999999998,4
138A.T,3,0.8,1.5,0.6,0.02,0.02,0.6666666666666666,1.0666666666666667,6
138A.T,3,0.8,1.5,0.6,0.02,0.05,0.8,2.1333333333333333,5
138A.T,3,0.8,1.5,0.6,0.05,0.02,0.6666666666666666,1.0666666666666667,6
138A.T,3,0.8,1.5,0.6,0.05,0.05,0.8,2.1333333333333333,5
138A.T,3,0.8,1.5,0.8,0.02,0.02,0.6666666666666666,1.0666666666666667,6
138A.T,3,0.8,1.5,0.8,0.02,0.05,0.8,2.1333333333333333,5
138A.T,3,0.8,1.5,0.8,0.05,0.02,0.6666666666666666,1.0666666666666667,6
138A.T,3,0.8,1.5,0.8,0.05,0.05,0.8,2.1333333333333333,5
138A.T,3,0.8,1.5,1.0,0.02,0.02,0.5,0.5333333333333333,4
138A.T,3,0.8,1.5,1.0,0.02,0.05,0.6666666666666666,1.0666666666666667,3
138A.T,3,0.8,1.5,1.0,0.05,0.02,0.5,0.5333333333333333,4
138A.T,3,0.8,1.5,1.0,0.05,0.05,0.6666666666666666,1.0666666666666667,3
138A.T,3,0.8,2.0,0.6,0.02,0.02,0.6666666666666666,0.8,6
138A.T,3,0.8,2.0,0.6,0.02,0.05,0.8,1.6,5
138A.T,3,0.8,2.0,0.6,0.05,0.02,0.6666666666666666,0.8,6
138A.T,3,0.8,2.0,0.6,0.05,0.05,0.8,1.6,5
138A.T,3,0.8,2.0,0.8,0.02,0.02,0.6666666666666666,0.8,6
138A.T,3,0.8,2.0,0.8,0.02,0.05,0.8,1.6,5
138A.T,3,0.8,2.0,0.8,0.05,0.02,0.6666666666666666,0.8,6
138A.T,3,0.8,2.0,0.8,0.05,0.05,0.8,1.6,5
138A.T,3,0.8,2.0,1.0,0.02,0.02,0.5,0.4,4
138A.T,3,0.8,2.0,1.0,0.02,0.05,0.6666666666666666,0.8,3
138A.T,3,0.8,2.0,1.0,0.05,0.02,0.5,0.4,4
138A.T,3,0.8,2.0,1.0,0.05,0.05,0.6666666666666666,0.8,3
138A.T,3,1.0,1.5,0.6,0.02,0.02,0.6666666666666666,1.3333333333333333,6
138A.T,3,1.0,1.5,0.6,0.02,0.05,0.8,2.6666666666666665,5
138A.T,3,1.0,1.5,0.6,0.05,0.02,0.6666666666666666,1.3333333333333333,6
138A.T,3,1.0,1.5,0.6,0.05,0.05,0.8,2.6666666666666665,5
138A.T,3,1.0,1.5,0.8,0.02,0.02,0.6666666666666666,1.3333333333333333,6
138A.T,3,1.0,1.5,0.8,0.02,0.05,0.8,2.6666666666666665,5
138A.T,3,1.0,1.5,0.8,0.05,0.02,0.6666666666666666,1.3333333333333333,6
138A.T,3,1.0,1.5,0.8,0.05,0.05,0.8,2.6666666666666665,5
138A.T,3,1.0,1.5,1.0,0.02,0.02,0.5,0.6666666666666666,4
138A.T,3,1.0,1.5,1.0,0.02,0.05,0.6666666666666666,1.3333333333333333,3
138A.T,3,1.0,1.5,1.0,0.05,0.02,0.5,0.6666666666666666,4
138A.T,3,1.0,1.5,1.0,0.05,0.05,0.6666666666666666,1.3333333333333333,3
138A.T,3,1.0,2.0,0.6,0.02,0.02,0.6666666666666666,1.0,6
138A.T,3,1.0,2.0,0.6,0.02,0.05,0.8,2.0,5
138A.T,3,1.0,2.0,0.6,0.05,0.02,0.6666666666666666,1.0,6
138A.T,3,1.0,2.0,0.6,0.05,0.05,0.8,2.0,5
138A.T,3,1.0,2.0,0.8,0.02,0.02,0.6666666666666666,1.0,6
138A.T,3,1.0,2.0,0.8,0.02,0.05,0.8,2.0,5
138A.T,3,1.0,2.0,0.8,0.05,0.02,0.6666666666666666,1.0,6
138A.T,3,1.0,2.0,0.8,0.05,0.05,0.8,2.0,5
138A.T,3,1.0,2.0,1.0,0.02,0.02,0.5,0.5,4
138A.T,3,1.0,2.0,1.0,0.02,0.05,0.6666666666666666,1.0,3
138A.T,3,1.0,2.0,1.0,0.05,0.02,0.5,0.5,4
138A.T,3,1.0,2.0,1.0,0.05,0.05,0.6666666666666666,1.0,3
138A.T,3,1.2,1.5,0.6,0.02,0.02,0.6666666666666666,1.5999999999999999,6
138A.T,3,1.2,1.5,0.6,0.02,0.05,0.8,3.1999999999999997,5
138A.T,3,1.2,1.5,0.6,0.05,0.02,0.6666666666666666,1.5999999999999999,6
138A.T,3,1.2,1.5,0.6,0.05,0.05,0.8,3.1999999999999997,5
138A.T,3,1.2,1.5,0.8,0.02,0.02,0.6666666666666666,1.5999999999999999,6
138A.T,3,1.2,1.5,0.8,0.02,0.05,0.8,3.1999999999999997,5
138A.T,3,1.2,1.5,0.8,0.05,0.02,0.6666666666666666,1.5999999999999999,6
138A.T,3,1.2,1.5,0.8,0.05,0.05,0.8,3.1999999999999997,5
138A.T,3,1.2,1.5,1.0,0.02,0.02,0.5,0.7999999999999999,4
138A.T,3,1.2,1.5,1.0,0.02,0.05,0.6666666666666666,1.5999999999999999,3
138A.T,3,1.2,1.5,1.0,0.05,0.02,0.5,0.7999999999999999,4
138A.T,3,1.2,1.5,1.0,0.05,0.05,0.6666666666666666,1.5999999999999999,3
138A.T,3,1.2,2.0,0.6,0.02,0.02,0.6666666666666666,1.2,6
138A.T,3,1.2,2.0,0.6,0.02,0.05,0.8,2.4,5
138A.T,3,1.2,2.0,0.6,0.05,0.02,0.6666666666666666,1.2,6
138A.T,3,1.2,2.0,0.6,0.05,0.05,0.8,2.4,5
138A.T,3,1.2,2.0,0.8,0.02,0.02,0.6666666666666666,1.2,6
138A.T,3,1.2,2.0,0.8,0.02,0.05,0.8,2.4,5
138A.T,3,1.2,2.0,0.8,0.05,0.02,0.6666666666666666,1.2,6
138A.T,3,1.2,2.0,0.8,0.05,0.05,0.8,2.4,5
138A.T,3,1.2,2.0,1.0,0.02,0.02,0.5,0.6,4
138A.T,3,1.2,2.0,1.0,0.02,0.05,0.6666666666666666,1.2,3
138A.T,3,1.2,2.0,1.0,0.05,0.02,0.5,0.6,4
138A.T,3,1.2,2.0,1.0,0.05,0.05,0.6666666666666666,1.2,3
138A.T,5,0.8,1.5,0.6,0.02,0.02,0.4,0.35555555555555557,5
138A.T,5,0.8,1.5,0.6,0.02,0.05,0.5,0.5333333333333333,4
138A.T,5,0.8,1.5,0.6,0.05,0.02,0.5,0.5333333333333333,4
138A.T,5,0.8,1.5,0.6,0.05,0.05,0.6666666666666666,1.0666666666666667,3
138A.T,5,0.8,1.5,0.8,0.02,0.02,0.5,0.5333333333333333,4
138A.T,5,0.8,1.5,0.8,0.02,0.05,0.6666666666666666,1.0666666666666667,3
138A.T,5,0.8,1.5,0.8,0.05,0.02,0.5,0.5333333333333333,4
138A.T,5,0.8,1.5,0.8,0.05,0.05,0.6666666666666666,1.0666666666666667,3
138A.T,5,0.8,1.5,1.0,0.02,0.02,0.5,0.5333333333333333,2
138A.T,5,0.8,1.5,1.0,0.02,0.05,1.0,999.0,1
