code,mode,signal_mode,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
6330.T,coarse,full,5,0.0,0.0,0.0,-1.0008,0,2
6361.T,coarse,full,10,0.2,0.2857142857142857,0.2497334754797442,-0.9007999999999998,0,2
6367.T,coarse,full,5,0.6,1.7999999999999998,1.7973621103117507,0.31920000000000004,0,2
6460.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
6479.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
6501.T,coarse,full,4,0.0,0.0,0.0,-1.0008,0,2
6503.T,coarse,full,9,0.1111111111111111,0.15,0.0936625349860056,-1.611911111111111,0,2
6506.T,coarse,full,5,0.0,0.0,0.0,-2.0008,0,2
6525.T,coarse,full,10,0.1,0.08333333333333333,0.08325558665422722,-1.6507999999999998,0,2
6526.T,coarse,full,7,0.2857142857142857,0.6,0.5992006394884093,-0.2865142857142857,0,2
6532.T,coarse,full,6,0.0,0.0,0.0,-1.0008,0,2
6590.T,coarse,full,12,0.08333333333333333,0.09375,0.06811820726254954,-1.7091333333333332,0,2
6594.T,coarse,full,8,0.125,0.2,0.14270484313128237,-1.1258,0,2
6701.T,coarse,full,4,0.0,0.0,0.0,-1.0008,0,2
6702.T,coarse,full,5,0.0,0.0,0.0,-1.0008,0,2
6723.T,coarse,full,6,0.8333333333333334,3.75,3.746501399440225,0.9158666666666668,1,2
6752.T,coarse,full,5,0.8,3.0,2.99720111955218,0.7992000000000004,0,2
6758.T,coarse,full,9,0.1111111111111111,0.21428571428571427,0.18725019984012792,-0.723022222222222,0,2
6762.T,coarse,full,6,0.8333333333333334,5.0,4.9946695095948845,0.9992000000000001,0,2
6814.T,coarse,full,5,0.2,0.75,0.37450039968025584,-0.5007999999999999,0,2
6857.T,coarse,full,7,0.14285714285714285,0.3,0.24966693312017055,-0.6436571428571428,0,2
6861.T,coarse,full,4,0.25,0.5,0.49933386624034115,-0.3757999999999999,0,2
6869.T,coarse,full,2,0.0,0.0,0.0,-1.0008,0,2
6871.T,coarse,full,7,0.14285714285714285,0.25,0.24966693312017055,-0.6436571428571428,0,2
6902.T,coarse,full,7,0.14285714285714285,0.25,0.24966693312017055,-0.6436571428571428,0,2
6920.T,coarse,full,12,0.25,0.6428571428571429,0.49933386624034115,-0.3757999999999999,0,2
6954.T,coarse,full,4,0.25,0.75,0.49933386624034115,-0.3757999999999999,0,2
6963.T,coarse,full,5,0.2,0.375,0.37450039968025584,-0.5007999999999999,0,2
6965.T,coarse,full,2,1.0,999.0,999.0,1.1992,0,2
6971.T,coarse,full,3,0.0,0.0,0.0,-2.0008,0,2
6976.T,coarse,full,6,0.16666666666666666,0.25,0.19978678038379533,-1.0008,0,2
6981.T,coarse,full,5,0.6,2.25,2.2470023980815346,0.4992,0,2
6988.T,coarse,full,8,0.25,0.6666666666666666,0.33297796730632556,-0.7507999999999999,0,2
7003.T,coarse,full,5,0.6,2.25,1.1239504198320671,0.09919999999999995,0,2
7011.T,coarse,full,5,0.8,6.0,5.992006394884095,0.9992000000000003,0,2
7012.T,coarse,full,6,0.8333333333333334,999.0,2.9968012794882055,0.6658666666666668,0,2
7013.T,coarse,full,6,0.8333333333333334,3.75,3.746501399440225,0.9158666666666668,0,2
7167.T,coarse,full,2,0.5,999.0,0.9989339019189767,-0.0007999999999999119,0,2
7182.T,coarse,full,11,0.2727272727272727,0.45,0.28098760495801683,-1.0462545454545453,0,2
7186.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
7201.T,coarse,full,11,0.09090909090909091,0.21428571428571427,0.14980015987210235,-0.7735272727272726,0,2
7202.T,coarse,full,1,0.0,0.0,0.0,-1.0008,0,2
7203.T,coarse,full,7,0.0,0.0,0.0,-2.0008,0,2
7211.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
7261.T,coarse,full,4,0.0,0.0,0.0,-1.0008,0,2
7267.T,coarse,full,10,0.3,0.5,0.4281145293938471,-0.6008,0,2
7269.T,coarse,full,7,0.2857142857142857,1.2,0.4792965627498002,-0.3722285714285714,0,2
7270.T,coarse,full,6,0.16666666666666666,0.16,0.1598081023454158,-1.0508,0,2
7272.T,coarse,full,7,0.0,0.0,0.0,-1.5008,0,2
7453.T,coarse,full,6,0.5,1.5,1.4980015987210233,0.2492000000000001,1,2
7532.T,coarse,full,4,0.25,0.5,0.49933386624034115,-0.3757999999999999,0,2
7711.T,coarse,full,6,0.16666666666666666,0.375,0.29960031974420465,-0.5841333333333333,0,2
7731.T,coarse,full,2,0.0,0.0,0.0,-1.0008,0,2
7733.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
