Ticker,count,mean,sum
9501.T,803,0.17935230069855174,144.01989746093705
9107.T,737,0.19430122116688886,143.1999999999971
3289.T,772,0.17629533678756465,136.0999999999999
3092.T,762,0.1782152230971122,135.7999999999995
7203.T,752,0.18018617021276778,135.50000000000136
4911.T,814,0.16412776412775676,133.599999999994
5401.T,789,0.1583275160408692,124.9204101562458
7267.T,733,0.1698499317871732,124.49999999999795
7202.T,809,0.15216316440049152,123.09999999999764
7201.T,768,0.15924564997355173,122.30065917968773
9506.T,691,0.1767004341534014,122.10000000000036
7751.T,768,0.15598958333332646,119.79999999999472
5019.T,812,0.13325075046182255,108.19960937499991
9023.T,730,0.13643835616438127,99.59999999999832
7951.T,782,0.12038390020580135,94.14020996093666
6981.T,837,0.11218637992832313,93.90000000000646
7762.T,632,0.14841772151899088,93.80000000000223
