Ticker,plan_tag,SignalMode,Session,forward_trades,forward_winrate,forward_pf_eff,forward_pf_calc,exp_bp_mean,expected_profit_total,expected_profit_daily,expected_profit_per_trade,max_drawdown_est
6525.T,AM0945_j-cross,j-cross,AM15,8,1.0,999.0,999.0,65.08546152511961,520683.6922009569,130170.92305023923,65085.461525119616,0.0
8035.T,AM1000_j-only,j-only,AM15,8,1.0,999.0,999.0,9.636860520901594,77094.88416721275,19273.721041803186,9636.860520901593,0.0
8136.T,AM0945_j-only,j-only,AM15,7,1.0,999.0,999.0,12.236112167299952,85652.78517109966,21413.196292774915,12236.112167299952,0.0
6702.T,AM0930_j-only,j-only,AM15,6,1.0,999.0,999.0,42.62235926247924,255734.15557487548,63933.53889371887,42622.35926247924,0.0
6525.T,AM0930_j-cross,j-cross,AM15,6,1.0,999.0,999.0,36.98831246187336,221929.87477124017,55482.46869281004,36988.312461873364,0.0
6146.T,AM0945_j-cross,j-cross,AM15,6,1.0,999.0,999.0,51.326452263026674,307958.71357816004,76989.67839454001,51326.45226302667,0.0
6146.T,AM1000_j-cross,j-cross,AM15,6,1.0,999.0,999.0,51.326452263026674,307958.71357816004,76989.67839454001,51326.45226302667,0.0
6146.T,AM1015_j-cross,j-cross,AM15,6,1.0,999.0,999.0,51.326452263026674,307958.71357816004,76989.67839454001,51326.45226302667,0.0
6146.T,AM1030_j-cross,j-cross,AM15,6,1.0,999.0,2.1508409646927418,51.326452263026674,307958.71357816004,76989.67839454001,51326.45226302667,0.0
1579.T,AM0930_j-cross,j-cross,AM15,5,1.0,999.0,999.0,22.7037986048932,113518.993024466,28379.7482561165,22703.7986048932,0.0
6857.T,AM1000_j-cross,j-cross,AM15,5,1.0,999.0,999.0,63.01397059366632,315069.85296833166,78767.46324208291,63013.97059366633,0.0
8411.T,AM0930_j-cross,j-cross,AM15,4,1.0,999.0,999.0,12.899512096426347,51598.048385705384,12899.512096426346,12899.512096426346,0.0
6857.T,AM0945_j-cross,j-cross,AM15,4,1.0,999.0,999.0,65.90614492326448,263624.5796930579,65906.14492326448,65906.14492326448,0.0
4592.T,AM1015_j-cross,j-cross,AM15,11,0.7272727272727273,12.017313368951342,12.017313368951342,201.69627162536835,2218658.987879052,554664.746969763,201696.27162536836,231575.01952150583
4592.T,AM1030_j-cross,j-cross,AM15,11,0.7272727272727273,12.017313368951342,13.135194456412984,201.69627162536835,2218658.987879052,554664.746969763,201696.27162536836,210242.57729476862
6526.T,AM0930_j-only,j-only,AM15,16,0.875,7.488879219268079,7.488879219268079,72.2745525266529,1156392.8404264464,289098.2101066116,72274.5525266529,462538.3967217239
4592.T,AM1000_j-cross,j-cross,AM15,7,0.7142857142857143,7.299580334313744,7.299580334313744,211.27673202042047,1478937.1241429434,369734.28103573585,211276.7320204205,241815.60437076897
5016.T,AM1000_j-only,j-only,AM15,37,0.8918918918918919,6.395996240845236,6.395996240845236,29.114468861220065,1077235.3478651424,269308.8369662856,29114.468861220063,604740.5686732879
6525.T,AM1000_j-cross,j-cross,AM15,9,0.8888888888888888,6.157565807424079,6.157565807424079,48.45818933011125,436123.70397100126,109030.92599275032,48458.18933011125,3.188250171062416e-10
6525.T,AM1015_j-cross,j-cross,AM15,9,0.8888888888888888,6.157565807424079,6.157565807424079,48.45818933011125,436123.70397100126,109030.92599275032,48458.18933011125,3.188250171062416e-10
6525.T,AM1030_j-cross,j-cross,AM15,9,0.8888888888888888,6.157565807424079,2.7877806448160585,48.45818933011125,436123.70397100126,109030.92599275032,48458.18933011125,9.197778326701452e-10
4592.T,AM1030_j-only,j-only,AM15,61,0.3442622950819672,5.805970994549128,6.05859576085897,125.74186551730952,7670253.79655588,1917563.44913897,125741.86551730952,131133.5675332511
6526.T,AM0945_j-only,j-only,AM15,30,0.9333333333333332,5.669432443329544,5.669432443329544,27.738217257855474,832146.5177356643,208036.62943391607,27738.217257855475,895214.1710502185
4592.T,AM0945_j-only,j-only,AM15,57,0.631578947368421,4.494521599043986,4.494521599043986,176.48755288454487,10059790.514419058,2514947.6286047646,176487.5528845449,908207.3696525653
4592.T,AM0930_j-only,j-only,AM15,31,0.4193548387096774,4.447255007709164,4.447255007709164,197.707219507592,6128923.804735351,1532230.9511838378,197707.21950759197,328513.5749967953
