[2025-11-01 09:55:27] Run started
[2025-11-01 09:55:27] Run type resolved to weekend
[2025-11-01 09:55:28] Codes limited via output\bt30\NIGHTLY_20251101\universe_amt_top_300_2025-10-31.csv: 300 tickers (was 20)
[2025-11-01 09:58:05] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-11-01 09:59:39] Entry window marks set: 251314 rows flagged out of 2955447
[2025-11-01 09:59:42] Liquidity filter q=0.50 kept 222 tickers and 1595369 rows
[2025-11-01 09:59:42] Using 5 rolling slices (train=12, forward=4)
[2025-11-01 09:59:42] Parameter grid size: 240 (mode=coarse, signal=j-cross)
[2025-11-01 10:56:38] [182/222] 8309.T: best train_pf_eff=0.541, forward_pf_eff=999.000, trades=6/3
[2025-11-01 10:56:59] [183/222] 8308.T: best train_pf_eff=3.782, forward_pf_eff=6.628, trades=61/22
[2025-11-01 10:57:28] [184/222] 8593.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 10:57:30] [185/222] 8316.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=10/6
[2025-11-01 10:58:14] [186/222] 8601.T: best train_pf_eff=0.100, forward_pf_eff=0.720, trades=9/15
[2025-11-01 10:59:04] [187/222] 8411.T: best train_pf_eff=4.210, forward_pf_eff=2.828, trades=55/20
[2025-11-01 10:59:05] [188/222] 8591.T: best train_pf_eff=1.786, forward_pf_eff=2.581, trades=10/5
[2025-11-01 10:59:20] [189/222] 8473.T: best train_pf_eff=2.978, forward_pf_eff=4.862, trades=49/16
[2025-11-01 11:00:00] [190/222] 8697.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=10/5
[2025-11-01 11:00:34] [191/222] 8604.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=1/3
[2025-11-01 11:01:01] [192/222] 8630.T: best train_pf_eff=1.693, forward_pf_eff=2.295, trades=9/7
[2025-11-01 11:01:27] [193/222] 8729.T: best train_pf_eff=0.207, forward_pf_eff=0.423, trades=23/9
[2025-11-01 11:01:36] [194/222] 8725.T: best train_pf_eff=0.516, forward_pf_eff=2.483, trades=32/8
[2025-11-01 11:02:06] [195/222] 8750.T: best train_pf_eff=0.243, forward_pf_eff=2.114, trades=15/10
[2025-11-01 11:02:16] [196/222] 9021.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 11:02:34] [197/222] 8801.T: best train_pf_eff=15.081, forward_pf_eff=999.000, trades=21/5
[2025-11-01 11:02:40] [198/222] 8766.T: best train_pf_eff=0.270, forward_pf_eff=999.000, trades=5/2
[2025-11-01 11:03:06] [199/222] 9023.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/4
[2025-11-01 11:03:07] [200/222] 8802.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=7/6
[2025-11-01 11:03:16] [201/222] 9020.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=14/10
[2025-11-01 11:04:33] [202/222] 9348.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 11:04:55] [203/222] 9201.T: best train_pf_eff=1.298, forward_pf_eff=999.000, trades=15/11
[2025-11-01 11:04:56] [204/222] 9202.T: best train_pf_eff=0.327, forward_pf_eff=0.240, trades=13/11
[2025-11-01 11:05:00] [205/222] 9022.T: best train_pf_eff=0.559, forward_pf_eff=1.029, trades=62/29
