[2025-11-02 16:51:24] Run started
[2025-11-02 16:51:24] Run type resolved to weekend
[2025-11-02 16:51:24] Codes limited via output\\bt30\\NIGHTLY_20251101\\universe_amt_top_150_2025-10-31.csv: 150 tickers (was 20)
[2025-11-02 16:52:05] Fetching Yahoo Finance 1m bars for 1 tickers (lookback=60, chunk=5)
[2025-11-02 16:52:32] Entry window marks set: 219761 rows flagged out of 1714299
[2025-11-02 16:52:34] Liquidity filter q=0.50 kept 133 tickers and 861466 rows
[2025-11-02 16:52:34] Using 1 rolling slices (train=12, forward=20)
[2025-11-02 16:52:34] Parameter grid size: 24 (mode=coarse, signal=j-only)
[2025-11-02 17:00:28] [114/133] 8725.T: best train_pf_eff=0.245, forward_pf_eff=0.260, trades=65/113
[2025-11-02 17:00:30] [115/133] 9020.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-02 17:00:30] [116/133] 8729.T: best train_pf_eff=0.000, forward_pf_eff=0.355, trades=0/93
[2025-11-02 17:00:30] [117/133] 9022.T: best train_pf_eff=0.000, forward_pf_eff=2.915, trades=0/10
[2025-11-02 17:00:32] [118/133] 8801.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-02 17:00:53] [119/133] 8766.T: best train_pf_eff=0.540, forward_pf_eff=0.440, trades=87/181
[2025-11-02 17:00:56] [120/133] 9201.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-02 17:01:04] [121/133] 9107.T: best train_pf_eff=0.000, forward_pf_eff=2.087, trades=0/35
[2025-11-02 17:01:08] [122/133] 9101.T: best train_pf_eff=1.005, forward_pf_eff=0.585, trades=128/144
[2025-11-02 17:01:11] [123/133] 9104.T: best train_pf_eff=0.538, forward_pf_eff=0.339, trades=128/119
[2025-11-02 17:01:12] [124/133] 9434.T: best train_pf_eff=5.949, forward_pf_eff=0.262, trades=28/74
[2025-11-02 17:01:20] [125/133] 9433.T: best train_pf_eff=0.447, forward_pf_eff=0.311, trades=113/163
[2025-11-02 17:01:21] [126/133] 9432.T: best train_pf_eff=1.655, forward_pf_eff=999.000, trades=33/43
[2025-11-02 17:01:23] [127/133] 9503.T: best train_pf_eff=2.854, forward_pf_eff=0.000, trades=12/0
[2025-11-02 17:01:25] [128/133] 9509.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-02 17:01:26] [129/133] 9697.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-02 17:01:31] [130/133] 9501.T: best train_pf_eff=1.335, forward_pf_eff=0.490, trades=81/57
[2025-11-02 17:01:33] [131/133] 9983.T: best train_pf_eff=0.000, forward_pf_eff=2.179, trades=0/81
[2025-11-02 17:01:34] [132/133] 9843.T: best train_pf_eff=1.358, forward_pf_eff=0.664, trades=55/35
[2025-11-02 17:01:36] [133/133] 9984.T: best train_pf_eff=1.289, forward_pf_eff=3.760, trades=13/50
[2025-11-02 17:01:36] Cache reuse: 24/3192 combos (0.8%) served from cache
[2025-11-02 17:01:36] Run completed in 10.2 minutes
