[2025-10-17 07:14:17] Run started
[2025-10-17 07:14:17] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-10-17 07:15:55] Session filter kept 69029 / 1824752 rows
[2025-10-17 07:15:55] Liquidity filter quantile=0.50 kept 262 tickers
[2025-10-17 07:15:55] Using 2 rolling slices (train=12, forward=4)
[2025-10-17 07:15:55] Parameter grid size: 96 (mode=coarse)
[2025-10-17 07:17:40] [108/262] 5020.T: best train_pf_eff=0.719, forward_pf_eff=1.198, trades=8/2
[2025-10-17 07:17:41] [109/262] 5076.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=4/4
[2025-10-17 07:17:42] [110/262] 5105.T: best train_pf_eff=999.000, forward_pf_eff=1.198, trades=1/2
[2025-10-17 07:17:44] [111/262] 5108.T: best train_pf_eff=0.222, forward_pf_eff=0.342, trades=32/9
[2025-10-17 07:17:44] [112/262] 5246.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 07:17:45] [113/262] 5253.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=1/1
[2025-10-17 07:17:46] [114/262] 5401.T: best train_pf_eff=0.321, forward_pf_eff=0.125, trades=10/7
[2025-10-17 07:17:47] [115/262] 5406.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=2/3
[2025-10-17 07:17:48] [116/262] 5411.T: best train_pf_eff=0.171, forward_pf_eff=1.199, trades=9/3
[2025-10-17 07:17:49] [117/262] 5595.T: best train_pf_eff=0.000, forward_pf_eff=0.399, trades=7/4
[2025-10-17 07:17:51] [118/262] 5631.T: best train_pf_eff=0.200, forward_pf_eff=0.214, trades=19/9
[2025-10-17 07:17:52] [119/262] 5706.T: best train_pf_eff=0.749, forward_pf_eff=1.124, trades=21/7
[2025-10-17 07:17:53] [120/262] 5711.T: best train_pf_eff=0.749, forward_pf_eff=0.000, trades=3/5
[2025-10-17 07:17:55] [121/262] 5713.T: best train_pf_eff=0.136, forward_pf_eff=0.375, trades=12/10
[2025-10-17 07:17:55] [122/262] 5724.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 07:17:56] [123/262] 5726.T: best train_pf_eff=0.272, forward_pf_eff=0.000, trades=13/4
[2025-10-17 07:17:57] [124/262] 5801.T: best train_pf_eff=0.428, forward_pf_eff=4.494, trades=9/4
[2025-10-17 07:17:59] [125/262] 5802.T: best train_pf_eff=0.300, forward_pf_eff=0.999, trades=18/5
[2025-10-17 07:18:00] [126/262] 5803.T: best train_pf_eff=0.272, forward_pf_eff=1.198, trades=13/9
[2025-10-17 07:18:01] [127/262] 5838.T: best train_pf_eff=0.300, forward_pf_eff=0.000, trades=12/7
[2025-10-17 07:18:02] [128/262] 5991.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/1
[2025-10-17 07:18:03] [129/262] 6098.T: best train_pf_eff=0.281, forward_pf_eff=0.000, trades=11/4
[2025-10-17 07:18:04] [130/262] 6141.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=2/0
[2025-10-17 07:18:05] [131/262] 6146.T: best train_pf_eff=0.655, forward_pf_eff=0.150, trades=23/11
[2025-10-17 07:18:06] [132/262] 6177.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=4/1
[2025-10-17 07:18:07] [133/262] 6178.T: best train_pf_eff=0.200, forward_pf_eff=0.000, trades=17/4
[2025-10-17 07:18:08] [134/262] 6232.T: best train_pf_eff=1.498, forward_pf_eff=1.498, trades=2/2
[2025-10-17 07:18:09] [135/262] 6268.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 07:18:10] [136/262] 6301.T: best train_pf_eff=1.332, forward_pf_eff=2.996, trades=17/3
[2025-10-17 07:18:11] [137/262] 6315.T: best train_pf_eff=0.315, forward_pf_eff=0.000, trades=24/6
[2025-10-17 07:18:13] [138/262] 6323.T: best train_pf_eff=1.648, forward_pf_eff=0.937, trades=16/9
[2025-10-17 07:18:13] [139/262] 6324.T: best train_pf_eff=0.000, forward_pf_eff=1.198, trades=1/2
[2025-10-17 07:18:15] [140/262] 6326.T: best train_pf_eff=0.300, forward_pf_eff=0.375, trades=7/3
[2025-10-17 07:18:15] [141/262] 6330.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/3
[2025-10-17 07:18:16] [142/262] 6361.T: best train_pf_eff=0.749, forward_pf_eff=0.214, trades=15/8
[2025-10-17 07:18:18] [143/262] 6367.T: best train_pf_eff=0.285, forward_pf_eff=0.250, trades=25/7
[2025-10-17 07:18:18] [144/262] 6460.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=10/0
[2025-10-17 07:18:19] [145/262] 6479.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 07:18:20] [146/262] 6501.T: best train_pf_eff=4.494, forward_pf_eff=0.000, trades=4/3
[2025-10-17 07:18:21] [147/262] 6503.T: best train_pf_eff=0.079, forward_pf_eff=0.000, trades=21/6
[2025-10-17 07:18:22] [148/262] 6506.T: best train_pf_eff=1.311, forward_pf_eff=0.000, trades=11/3
[2025-10-17 07:18:24] [149/262] 6525.T: best train_pf_eff=0.130, forward_pf_eff=0.094, trades=27/9
[2025-10-17 07:18:25] [150/262] 6526.T: best train_pf_eff=0.166, forward_pf_eff=0.375, trades=10/5
[2025-10-17 07:18:27] [151/262] 6532.T: best train_pf_eff=0.214, forward_pf_eff=0.000, trades=9/5
[2025-10-17 07:18:28] [152/262] 6590.T: best train_pf_eff=1.873, forward_pf_eff=0.166, trades=9/10
[2025-10-17 07:18:29] [153/262] 6594.T: best train_pf_eff=0.300, forward_pf_eff=0.000, trades=14/5
[2025-10-17 07:18:30] [154/262] 6701.T: best train_pf_eff=0.250, forward_pf_eff=0.000, trades=14/2
[2025-10-17 07:18:32] [155/262] 6702.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=6/4
[2025-10-17 07:18:33] [156/262] 6723.T: best train_pf_eff=0.268, forward_pf_eff=1.249, trades=19/8
[2025-10-17 07:18:34] [157/262] 6752.T: best train_pf_eff=1.268, forward_pf_eff=0.375, trades=24/5
[2025-10-17 07:18:36] [158/262] 6758.T: best train_pf_eff=0.499, forward_pf_eff=0.300, trades=16/6
[2025-10-17 07:18:37] [159/262] 6762.T: best train_pf_eff=0.428, forward_pf_eff=2.997, trades=11/5
[2025-10-17 07:18:38] [160/262] 6814.T: best train_pf_eff=0.375, forward_pf_eff=0.000, trades=5/4
[2025-10-17 07:18:39] [161/262] 6857.T: best train_pf_eff=0.953, forward_pf_eff=0.300, trades=18/6
[2025-10-17 07:18:41] [162/262] 6861.T: best train_pf_eff=0.843, forward_pf_eff=0.499, trades=25/4
[2025-10-17 07:18:41] [163/262] 6869.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=4/2
