[2025-11-01 06:46:09] Run started
[2025-11-01 06:46:09] Run type resolved to weekend
[2025-11-01 06:46:10] Codes limited via output\bt30\NIGHTLY_20251101\universe_amt_top_300_2025-10-31.csv: 300 tickers (was 20)
[2025-11-01 06:48:26] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-11-01 06:50:04] Entry window marks set: 251314 rows flagged out of 2955449
[2025-11-01 06:50:07] Liquidity filter q=0.50 kept 222 tickers and 1595369 rows
[2025-11-01 06:50:07] Using 5 rolling slices (train=12, forward=4)
[2025-11-01 06:50:07] Parameter grid size: 240 (mode=coarse, signal=j-only)
[2025-11-01 08:20:39] [180/222] 8309.T: best train_pf_eff=15.378, forward_pf_eff=2.102, trades=87/45
[2025-11-01 08:20:41] [181/222] 8267.T: best train_pf_eff=0.858, forward_pf_eff=0.535, trades=457/112
[2025-11-01 08:21:01] [182/222] 8306.T: best train_pf_eff=2.914, forward_pf_eff=0.668, trades=231/105
[2025-11-01 08:21:10] [183/222] 8308.T: best train_pf_eff=0.000, forward_pf_eff=3.768, trades=8/11
[2025-11-01 08:22:17] [184/222] 8316.T: best train_pf_eff=9.292, forward_pf_eff=1.432, trades=61/39
[2025-11-01 08:22:42] [185/222] 8593.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 08:24:25] [186/222] 8601.T: best train_pf_eff=2.023, forward_pf_eff=0.383, trades=38/55
[2025-11-01 08:25:38] [187/222] 8411.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=40/18
[2025-11-01 08:26:13] [188/222] 8697.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=18/9
[2025-11-01 08:26:15] [189/222] 8473.T: best train_pf_eff=1.889, forward_pf_eff=1.439, trades=118/59
[2025-11-01 08:26:24] [190/222] 8591.T: best train_pf_eff=0.593, forward_pf_eff=0.483, trades=242/110
[2025-11-01 08:26:53] [191/222] 8630.T: best train_pf_eff=0.371, forward_pf_eff=2.612, trades=17/7
[2025-11-01 08:26:53] [192/222] 8604.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=1/2
[2025-11-01 08:28:50] [193/222] 9021.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 08:29:02] [194/222] 8725.T: best train_pf_eff=0.564, forward_pf_eff=0.595, trades=376/106
[2025-11-01 08:29:52] [195/222] 8729.T: best train_pf_eff=0.323, forward_pf_eff=0.386, trades=180/62
[2025-11-01 08:30:30] [196/222] 8750.T: best train_pf_eff=0.419, forward_pf_eff=0.967, trades=87/53
[2025-11-01 08:30:43] [197/222] 9020.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=30/14
[2025-11-01 08:31:12] [198/222] 8802.T: best train_pf_eff=4.088, forward_pf_eff=13.590, trades=67/37
[2025-11-01 08:31:27] [199/222] 8801.T: best train_pf_eff=15.147, forward_pf_eff=999.000, trades=135/29
[2025-11-01 08:31:44] [200/222] 9023.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/9
[2025-11-01 08:32:21] [201/222] 8766.T: best train_pf_eff=0.548, forward_pf_eff=999.000, trades=6/2
[2025-11-01 08:34:20] [202/222] 9348.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 08:35:28] [203/222] 9202.T: best train_pf_eff=0.277, forward_pf_eff=0.311, trades=75/69
[2025-11-01 08:36:10] [204/222] 9022.T: best train_pf_eff=0.542, forward_pf_eff=0.670, trades=379/121
[2025-11-01 08:36:51] [205/222] 9201.T: best train_pf_eff=0.509, forward_pf_eff=999.000, trades=88/33
[2025-11-01 08:38:39] [206/222] 9107.T: best train_pf_eff=0.955, forward_pf_eff=5.037, trades=193/37
[2025-11-01 08:38:55] [207/222] 9101.T: best train_pf_eff=1.378, forward_pf_eff=2.536, trades=51/6
[2025-11-01 08:39:15] [208/222] 9104.T: best train_pf_eff=0.804, forward_pf_eff=1.353, trades=316/77
[2025-11-01 08:40:06] [209/222] 9502.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=20/8
[2025-11-01 08:40:50] [210/222] 9432.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=28/7
[2025-11-01 08:41:33] [211/222] 9504.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 08:41:40] [212/222] 9506.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 08:42:17] [213/222] 9433.T: best train_pf_eff=0.444, forward_pf_eff=1.441, trades=73/29
[2025-11-01 08:43:06] [214/222] 9434.T: best train_pf_eff=1.290, forward_pf_eff=1.406, trades=221/65
[2025-11-01 08:43:18] [215/222] 9501.T: best train_pf_eff=0.505, forward_pf_eff=0.354, trades=270/41
[2025-11-01 08:44:14] [216/222] 9831.T: best train_pf_eff=4.722, forward_pf_eff=4.722, trades=36/12
[2025-11-01 08:44:15] [217/222] 9503.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=34/14
[2025-11-01 08:45:13] [218/222] 9697.T: best train_pf_eff=1.315, forward_pf_eff=0.452, trades=92/56
[2025-11-01 08:45:16] [219/222] 9983.T: best train_pf_eff=132.461, forward_pf_eff=338.844, trades=22/20
[2025-11-01 08:45:30] [220/222] 9509.T: best train_pf_eff=4.481, forward_pf_eff=6.703, trades=20/5
[2025-11-01 08:46:15] [221/222] 9843.T: best train_pf_eff=1.217, forward_pf_eff=21.365, trades=70/21
[2025-11-01 08:46:25] [222/222] 9984.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=59/21
[2025-11-01 08:46:25] Cache reuse: 0/17760 combos (0.0%) served from cache
[2025-11-01 08:46:25] ASHA pruned 35520 parameter combos prior to full evaluation
[2025-11-01 08:46:25] Run completed in 120.3 minutes
