[2025-10-17 17:11:41] Run started
[2025-10-17 17:11:41] Codes limited via output\bt30\NIGHTLY_20251017\universe_amt_top_300_2025-10-17.csv: 300 tickers
[2025-10-17 17:11:41] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-10-17 17:13:12] Entry window marks set: 34639 rows flagged out of 1553831
[2025-10-17 17:13:14] Liquidity filter q=0.50 kept 300 tickers and 811565 rows
[2025-10-17 17:13:14] Using 1 rolling slices (train=12, forward=4)
[2025-10-17 17:13:14] Parameter grid size: 72 (mode=coarse, signal=j-only)
[2025-10-17 17:15:31] [68/300] 3774.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:15:33] [69/300] 3861.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:15:38] [70/300] 3923.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:15:39] [71/300] 3935.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:15:45] [72/300] 3382.T: best train_pf_eff=0.229, forward_pf_eff=0.071, trades=24/12
[2025-10-17 17:15:45] [73/300] 3350.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:15:48] [74/300] 3436.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=9/6
[2025-10-17 17:15:50] [75/300] 4042.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:15:50] [76/300] 402A.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:15:51] [77/300] 4043.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:15:51] [78/300] 3563.T: best train_pf_eff=0.258, forward_pf_eff=0.160, trades=16/12
[2025-10-17 17:15:53] [79/300] 3692.T: best train_pf_eff=0.628, forward_pf_eff=0.000, trades=7/4
[2025-10-17 17:15:56] [80/300] 3905.T: best train_pf_eff=0.475, forward_pf_eff=1.175, trades=8/3
[2025-10-17 17:15:59] [81/300] 3697.T: best train_pf_eff=1.171, forward_pf_eff=0.000, trades=22/5
[2025-10-17 17:16:01] [82/300] 4005.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=1/0
[2025-10-17 17:16:02] [83/300] 4004.T: best train_pf_eff=0.072, forward_pf_eff=1.331, trades=13/3
[2025-10-17 17:16:03] [84/300] 4176.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:16:04] [85/300] 4182.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:16:08] [86/300] 423A.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:16:09] [87/300] 4088.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:16:12] [88/300] 4443.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:16:14] [89/300] 4188.T: best train_pf_eff=0.575, forward_pf_eff=0.000, trades=2/0
[2025-10-17 17:16:20] [90/300] 4204.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=4/0
[2025-10-17 17:16:20] [91/300] 4446.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:16:21] [92/300] 4307.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=2/3
[2025-10-17 17:16:22] [93/300] 4062.T: best train_pf_eff=0.635, forward_pf_eff=0.553, trades=23/6
[2025-10-17 17:16:26] [94/300] 4063.T: best train_pf_eff=0.308, forward_pf_eff=0.273, trades=14/4
[2025-10-17 17:16:28] [95/300] 4507.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:16:33] [96/300] 4385.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=4/1
[2025-10-17 17:16:36] [97/300] 4528.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:16:39] [98/300] 4587.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:16:41] [99/300] 4571.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:16:43] [100/300] 4503.T: best train_pf_eff=0.682, forward_pf_eff=0.228, trades=7/4
[2025-10-17 17:16:45] [101/300] 4452.T: best train_pf_eff=0.383, forward_pf_eff=0.914, trades=26/5
[2025-10-17 17:16:50] [102/300] 4506.T: best train_pf_eff=0.544, forward_pf_eff=1.311, trades=9/3
[2025-10-17 17:16:51] [103/300] 4502.T: best train_pf_eff=0.702, forward_pf_eff=0.147, trades=7/11
[2025-10-17 17:16:53] [104/300] 4519.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=1/1
[2025-10-17 17:16:54] [105/300] 4588.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:16:54] [106/300] 4523.T: best train_pf_eff=0.740, forward_pf_eff=1.777, trades=12/5
[2025-10-17 17:16:56] [107/300] 4543.T: best train_pf_eff=1.719, forward_pf_eff=0.605, trades=7/5
[2025-10-17 17:17:01] [108/300] 4612.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:17:01] [109/300] 4680.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/1
[2025-10-17 17:17:04] [110/300] 4578.T: best train_pf_eff=0.457, forward_pf_eff=0.000, trades=3/0
[2025-10-17 17:17:04] [111/300] 4732.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:17:10] [112/300] 4568.T: best train_pf_eff=3.343, forward_pf_eff=999.000, trades=13/1
[2025-10-17 17:17:11] [113/300] 4704.T: best train_pf_eff=1.794, forward_pf_eff=0.000, trades=3/0
[2025-10-17 17:17:12] [114/300] 4814.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
