[2025-10-17 07:51:50] Run started
[2025-10-17 07:51:50] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-10-17 07:53:35] Session filter kept 69029 / 1824752 rows
[2025-10-17 07:53:35] Liquidity filter quantile=0.50 kept 262 tickers
[2025-10-17 07:53:35] Using 2 rolling slices (train=12, forward=4)
[2025-10-17 07:53:35] Parameter grid size: 648 (mode=coarse, signal=full)
[2025-10-17 08:01:27] [66/262] 4005.T: best train_pf_eff=0.599, forward_pf_eff=0.000, trades=9/2
[2025-10-17 08:01:35] [67/262] 402A.T: best train_pf_eff=0.428, forward_pf_eff=0.749, trades=9/6
[2025-10-17 08:01:38] [68/262] 4042.T: best train_pf_eff=0.000, forward_pf_eff=0.599, trades=0/3
[2025-10-17 08:01:42] [69/262] 4043.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=2/0
[2025-10-17 08:01:52] [70/262] 4062.T: best train_pf_eff=0.285, forward_pf_eff=0.166, trades=25/10
[2025-10-17 08:02:01] [71/262] 4063.T: best train_pf_eff=0.458, forward_pf_eff=0.250, trades=29/8
[2025-10-17 08:02:04] [72/262] 4088.T: best train_pf_eff=0.000, forward_pf_eff=1.198, trades=0/4
[2025-10-17 08:02:10] [73/262] 4182.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=1/3
[2025-10-17 08:02:16] [74/262] 4188.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=5/2
[2025-10-17 08:02:22] [75/262] 4204.T: best train_pf_eff=0.749, forward_pf_eff=0.749, trades=6/4
[2025-10-17 08:02:24] [76/262] 423A.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/1
[2025-10-17 08:02:33] [77/262] 4307.T: best train_pf_eff=0.346, forward_pf_eff=0.000, trades=16/6
[2025-10-17 08:02:41] [78/262] 4385.T: best train_pf_eff=0.160, forward_pf_eff=0.200, trades=12/5
[2025-10-17 08:02:47] [79/262] 4446.T: best train_pf_eff=0.499, forward_pf_eff=0.999, trades=4/5
[2025-10-17 08:02:57] [80/262] 4452.T: best train_pf_eff=0.499, forward_pf_eff=0.333, trades=9/4
[2025-10-17 08:03:08] [81/262] 4502.T: best train_pf_eff=0.674, forward_pf_eff=0.225, trades=19/13
