[2025-11-04 17:38:49] Run started
[2025-11-04 17:38:49] Run type resolved to weekday
[2025-11-04 17:38:50] Codes limited via C:\AI\asagake\output\bt30\NIGHTLY_20251101\universe_amt_top_300_2025-10-31.csv: 300 tickers (was 20)
[2025-11-04 17:41:02] Fetching Yahoo Finance 1m bars for 1 tickers (lookback=60, chunk=5)
[2025-11-04 17:41:31] Entry window marks set: 246483 rows flagged out of 2894552
[2025-11-04 17:41:33] Liquidity filter q=0.50 kept 222 tickers and 1564022 rows
[2025-11-04 17:41:33] Using 5 rolling slices (train=12, forward=4)
[2025-11-04 17:41:33] Parameter grid size: 240 (mode=coarse, signal=j-only)
[2025-11-04 17:41:33] Ineffective-band mask removed 96 combos for J_th values [0.3, 0.4, 0.6, 0.7, 0.8, 1.0]
[2025-11-04 17:47:20] [81/222] 4901.T: best train_pf_eff=0.760, forward_pf_eff=1.036, trades=45/32
[2025-11-04 17:47:21] [82/222] 4911.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=78/38
[2025-11-04 17:47:37] [83/222] 4755.T: best train_pf_eff=0.965, forward_pf_eff=1.049, trades=114/25
[2025-11-04 17:47:45] [84/222] 5076.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=20/10
[2025-11-04 17:47:48] [85/222] 5020.T: best train_pf_eff=0.673, forward_pf_eff=999.000, trades=38/2
[2025-11-04 17:48:03] [86/222] 5406.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/3
[2025-11-04 17:48:13] [87/222] 5016.T: best train_pf_eff=1.649, forward_pf_eff=999.000, trades=104/22
[2025-11-04 17:48:17] [88/222] 5411.T: best train_pf_eff=0.825, forward_pf_eff=3.572, trades=12/6
[2025-11-04 17:48:18] [89/222] 5595.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/1
[2025-11-04 17:48:18] [90/222] 5108.T: best train_pf_eff=1.369, forward_pf_eff=1.069, trades=62/22
[2025-11-04 17:48:22] [91/222] 5401.T: best train_pf_eff=1.461, forward_pf_eff=1.650, trades=80/22
[2025-11-04 17:48:27] [92/222] 5711.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/16
[2025-11-04 17:48:55] [93/222] 5706.T: best train_pf_eff=0.977, forward_pf_eff=999.000, trades=128/18
