code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
2267.T,5,1.2,2.0,1.0,0.02,0.02,0.3202614379084967,0.2826923076923077,153,0.28239088979792704
2269.T,3,1.2,2.0,0.6,0.02,0.05,0.16428571428571428,0.12212389380530972,140,0.11782295628757045
2315.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,15,
2370.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,5,
2413.T,5,1.2,2.0,0.6,0.02,0.02,0.26288659793814434,0.21549295774647886,194,0.2137578535019559
2432.T,2,1.2,2.0,1.0,0.05,0.02,0.4268292682926829,0.44680851063829785,164,0.4463321054556901
247A.T,5,1.2,2.0,0.6,0.05,0.02,0.44329896907216493,0.4867924528301887,194,0.47726835191849193
2492.T,5,1.2,2.0,0.6,0.02,0.02,0.312,0.2752941176470588,125,0.2718029067442791
2502.T,1,1.2,2.0,1.0,0.05,0.05,0.35714285714285715,0.3387096774193548,98,0.3329779199431339
2503.T,3,1.2,2.0,0.6,0.05,0.05,0.24,0.1894736842105263,150,0.18927165975714977
2586.T,1,1.2,1.5,1.0,0.02,0.02,0.6875,2.1999999999999997,16,1.7578891257995737
2644.T,5,1.2,2.0,1.0,0.05,0.05,0.47183098591549294,0.5432432432432431,142,0.5354284952685593
2726.T,2,1.2,2.0,0.6,0.05,0.02,0.3248730964467005,0.30236220472440944,197,0.28841395772518064
2743.T,1,1.0,1.5,0.6,0.05,0.02,0.75,2.0,8,1.9973347547974414
2801.T,5,1.2,2.0,0.8,0.05,0.05,0.3983739837398374,0.3972972972972973,123,0.3968736829592488
2802.T,5,1.2,2.0,1.0,0.02,0.02,0.20670391061452514,0.15633802816901407,179,0.15617133428318816
285A.T,2,1.2,2.0,1.0,0.05,0.05,0.36231884057971014,0.35294117647058826,138,0.34054559994184147
2871.T,1,1.2,1.5,0.8,0.05,0.02,0.35051546391752575,0.4317460317460317,97,0.43122821267810607
2897.T,5,1.2,1.5,0.8,0.05,0.05,0.1791907514450867,0.17464788732394365,173,0.17443842157422143
290A.T,1,1.2,1.5,0.6,0.05,0.05,0.25471698113207547,0.27341772151898736,106,0.27308979514722953
2914.T,2,1.2,2.0,0.6,0.02,0.02,0.24870466321243523,0.19999999999999998,193,0.1984089122971501
3003.T,3,1.2,1.5,0.8,0.02,0.05,0.17894736842105263,0.17548387096774193,190,0.1741498551200044
3038.T,1,1.2,2.0,0.6,0.05,0.05,0.32142857142857145,0.2872340425531915,140,0.28390748963572465
3064.T,1,1.2,2.0,1.0,0.05,0.05,0.2857142857142857,0.24242424242424243,140,0.2397441023590564
3086.T,3,1.2,2.0,0.6,0.05,0.05,0.34415584415584416,0.31799999999999995,154,0.3145157778472769
3092.T,1,1.2,1.5,0.6,0.05,0.05,0.2074074074074074,0.20934579439252338,135,0.20909471334914215
3099.T,2,1.2,1.5,0.6,0.02,0.05,0.3151515151515151,0.368141592920354,165,0.3677000584938771
314A.T,2,1.2,2.0,0.6,0.02,0.02,0.28780487804878047,0.24583333333333332,205,0.24220722669836176
318A.T,1,1.2,1.5,0.6,0.05,0.02,0.3258426966292135,0.38666666666666666,89,0.3862029140014216
3231.T,5,1.2,2.0,0.6,0.02,0.02,0.34591194968553457,0.32038834951456313,159,0.31696936609971393
3289.T,3,1.2,2.0,0.6,0.02,0.05,0.3698630136986301,0.3640449438202247,146,0.3517984110703545
3315.T,1,0.8,1.5,0.6,0.02,0.02,0.6666666666666666,999.0,3,1.0650319829424304
3323.T,1,1.0,1.5,0.6,0.05,0.05,0.7692307692307693,2.2222222222222223,13,2.2192608386638244
3350.T,2,1.2,2.0,0.6,0.02,0.05,0.48120300751879697,0.573134328358209,133,0.5559283532963627
3382.T,5,1.2,2.0,0.8,0.02,0.05,0.38650306748466257,0.3818181818181818,163,0.37759696121551384
3402.T,5,1.2,1.5,1.0,0.02,0.05,0.28859060402684567,0.32452830188679244,149,0.32413907551192833
3405.T,2,1.2,2.0,0.8,0.02,0.02,0.2604166666666667,0.2127659574468085,192,0.21104234362592997
3407.T,2,1.2,2.0,1.0,0.02,0.05,0.3305785123966942,0.3,121,0.2959803732827857
3436.T,5,1.2,2.0,1.0,0.02,0.05,0.5149700598802395,0.6370370370370371,167,0.636357802557989
3536.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
3656.T,1,1.2,1.5,1.0,0.02,0.02,0.44,0.6769230769230768,25,0.6278175449284191
3659.T,1,1.2,1.5,0.6,0.05,0.02,0.3103448275862069,0.3645569620253164,116,0.35956823027718554
3664.T,1,1.0,1.5,0.6,0.02,0.02,0.4444444444444444,0.5333333333333333,18,0.5326226012793177
3697.T,2,1.2,2.0,1.0,0.05,0.05,0.2784090909090909,0.2333333333333333,176,0.23124923259042837
3777.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,3,
3823.T,1,0.8,1.5,0.8,0.02,0.02,1.0,999.0,3,
3825.T,1,1.2,1.5,0.6,0.02,0.02,0.5384615384615384,0.9333333333333333,26,0.9322139303482587
3861.T,3,1.2,1.5,1.0,0.05,0.05,0.2905405405405405,0.32761904761904764,148,0.3272261143263276
3905.T,5,1.2,1.5,0.8,0.05,0.05,0.2,0.2,150,0.19976012793176975
3923.T,2,1.2,2.0,0.8,0.02,0.02,0.39378238341968913,0.4,193,0.389328029471972
4004.T,5,1.2,1.5,1.0,0.02,0.05,0.31543624161073824,0.3686274509803921,149,0.3681853338350265
4005.T,2,1.2,2.0,0.6,0.05,0.02,0.33136094674556216,0.3027027027027027,169,0.2970280914183
402A.T,2,1.2,2.0,1.0,0.05,0.02,0.28078817733990147,0.24255319148936166,203,0.23399681223401048
4062.T,5,1.2,2.0,0.8,0.02,0.05,0.25555555555555554,0.20751879699248119,180,0.20575053560665285
4063.T,3,1.2,1.5,0.6,0.05,0.02,0.22875816993464052,0.23931623931623933,153,0.2370035416139641
4088.T,2,1.2,1.5,0.6,0.02,0.02,0.27906976744186046,0.30967741935483867,129,0.30930600453951446
408A.T,1,1.2,1.5,0.8,0.02,0.05,0.43333333333333335,0.6117647058823529,30,0.6110309795560016
4182.T,5,1.2,2.0,0.8,0.05,0.02,0.3220338983050847,0.28739495798319326,177,0.28469612155137947
4188.T,2,1.2,1.5,0.6,0.05,0.05,0.20202020202020202,0.20382165605095542,198,0.20228873714609594
4259.T,1,1.2,1.5,0.6,0.02,0.02,0.3392857142857143,0.4222222222222222,56,0.4103181006166082
425A.T,1,1.2,1.5,0.6,0.05,0.02,0.27522935779816515,0.3037974683544304,109,0.3034331057191439
4344.T,1,1.0,1.5,0.8,0.02,0.02,0.6,1.0,5,0.9986673773987207
4385.T,5,1.2,1.5,1.0,0.02,0.05,0.24324324324324326,0.2618181818181818,148,0.25683445019798967
4443.T,2,1.2,2.0,1.0,0.05,0.05,0.34415584415584416,0.31799999999999995,154,0.3145157778472769
4446.T,3,1.2,2.0,1.0,0.05,0.05,0.36551724137931035,0.3573033707865168,145,0.34528362568016285
4452.T,5,1.2,2.0,0.6,0.05,0.05,0.1949685534591195,0.15,159,0.14515756197520993
4502.T,1,1.2,1.5,1.0,0.05,0.05,0.20454545454545456,0.20769230769230768,132,0.20546756015839177
