code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
6988.T,1,1.2,1.5,0.6,0.05,0.05,0.2789115646258503,0.31238095238095237,147,0.309062839441606,0.18333333333333332,0.17959183673469387,60,1,1.2,1.5,0.6,0.05,0.05,0.17937644140811976
6993.T,1,0.8,1.5,0.6,0.05,0.02,1.0,999.0,4,,1.0,999.0,2,1,0.8,1.5,0.6,0.05,0.02,
7003.T,3,1.2,1.5,1.0,0.02,0.05,0.34210526315789475,0.42448979591836733,152,0.415501066098081,0.32,0.39999999999999997,50,3,1.2,1.5,1.0,0.02,0.05,0.3760190643421548
7011.T,1,1.2,1.5,1.0,0.05,0.05,0.21212121212121213,0.2196078431372549,132,0.21512629161882899,0.4318181818181818,0.608,44,1,1.2,1.5,1.0,0.05,0.05,0.6072707889125801
7012.T,3,1.2,2.0,1.0,0.05,0.02,0.3696969696969697,0.3553398058252427,165,0.35154784240150094,0.36666666666666664,0.34736842105263155,60,3,1.2,2.0,1.0,0.05,0.02,0.3469980428881079
7013.T,3,1.2,2.0,1.0,0.05,0.05,0.391304347826087,0.39999999999999997,138,0.38530302164848346,0.4772727272727273,0.63,44,3,1.2,2.0,1.0,0.05,0.05,0.547241972776107
7014.T,2,1.2,1.5,1.0,0.02,0.05,0.24731182795698925,0.2647482014388489,186,0.2625418824246117,0.14705882352941177,0.14814814814814814,68,2,1.2,1.5,1.0,0.02,0.05,0.13776560547018604
7167.T,5,1.2,2.0,1.0,0.05,0.05,0.42857142857142855,0.44999999999999996,133,0.4495201919232308,0.2127659574468085,0.17142857142857143,47,5,1.2,2.0,1.0,0.05,0.05,0.1619892583507138
7182.T,5,1.2,2.0,0.6,0.05,0.05,0.22929936305732485,0.17851239669421487,157,0.1783220596059097,0.45098039215686275,0.5519999999999999,51,5,1.2,2.0,0.6,0.05,0.05,0.4923316387730622
7186.T,1,1.2,2.0,1.0,0.05,0.05,0.41333333333333333,0.4227272727272727,75,0.42227654392788344,0.2222222222222222,0.17647058823529413,45,1,1.2,2.0,1.0,0.05,0.05,0.171245787399326
7201.T,5,1.2,2.0,0.6,0.05,0.05,0.34868421052631576,0.33125,152,0.3208696319452017,0.4406779661016949,0.5032258064516129,59,5,1.2,2.0,0.6,0.05,0.05,0.4722232319193535
7202.T,2,1.2,1.5,0.8,0.02,0.05,0.09375,0.08323699421965317,192,0.08265936328211161,0.20967741935483872,0.22127659574468084,62,2,1.2,1.5,0.8,0.02,0.05,0.21199033984595972
7203.T,5,1.2,2.0,0.6,0.02,0.05,0.3,0.2625,140,0.256868681098989,0.5185185185185185,0.6461538461538462,54,5,1.2,2.0,0.6,0.02,0.05,0.6454648909666901
7205.T,2,1.2,1.5,0.6,0.05,0.02,0.24175824175824176,0.2588235294117647,182,0.2547665399709527,0.25806451612903225,0.29767441860465116,62,2,1.2,1.5,0.6,0.05,0.02,0.27792713451376655
7211.T,3,1.2,2.0,0.8,0.05,0.02,0.30526315789473685,0.2676923076923077,190,0.2633552639550241,0.35714285714285715,0.3409090909090909,70,3,1.2,2.0,0.8,0.05,0.02,0.3329779199431339
7259.T,5,1.2,2.0,1.0,0.05,0.05,0.3643410852713178,0.3439024390243902,129,0.3435357564291357,0.3111111111111111,0.2709677419354839,45,5,1.2,2.0,1.0,0.05,0.05,0.2706788252440959
7261.T,1,1.2,1.5,0.6,0.05,0.05,0.18803418803418803,0.18723404255319148,117,0.18504096061048145,0.16666666666666666,0.1636363636363636,54,1,1.2,1.5,0.6,0.05,0.05,0.1598081023454158
7267.T,5,1.2,2.0,0.8,0.02,0.05,0.28187919463087246,0.23773584905660378,149,0.23526290418412077,0.6363636363636364,1.2923076923076924,44,5,1.2,2.0,0.8,0.02,0.05,1.0488804478208718
7269.T,5,1.2,1.5,0.6,0.05,0.05,0.2611464968152866,0.2827586206896551,157,0.2824194912138814,0.2807017543859649,0.3121951219512195,57,5,1.2,1.5,0.6,0.05,0.05,0.3118206875032503
7270.T,2,1.2,1.5,1.0,0.02,0.02,0.2620320855614973,0.28405797101449276,187,0.28371728314947,0.35294117647058826,0.4571428571428571,68,2,1.2,1.5,1.0,0.02,0.02,0.43584027912386136
7272.T,2,1.2,2.0,0.6,0.05,0.02,0.287292817679558,0.24186046511627907,181,0.24160258377269245,0.3424657534246575,0.3488372093023256,73,2,1.2,2.0,0.6,0.05,0.02,0.312166799946688
7453.T,5,1.2,2.0,1.0,0.05,0.02,0.34074074074074073,0.3136363636363636,135,0.30978170529541,0.48333333333333334,0.58,60,5,1.2,2.0,1.0,0.05,0.02,0.5606918522913416
7527.T,1,0.8,1.5,0.8,0.02,0.02,1.0,999.0,6,,0.3333333333333333,0.26666666666666666,6,1,0.8,1.5,0.8,0.02,0.02,0.2662579957356076
7532.T,5,1.2,1.5,0.8,0.05,0.05,0.3305785123966942,0.3950617283950617,121,0.3945879070257181,0.275,0.3142857142857143,40,5,1.2,1.5,0.8,0.05,0.05,0.30308433203440927
7599.T,5,1.2,2.0,0.8,0.05,0.02,0.39568345323741005,0.4024390243902439,139,0.39243826279012206,0.603448275862069,0.9545454545454546,58,5,1.2,2.0,0.8,0.05,0.02,0.9120699546268448
7711.T,2,1.2,2.0,0.6,0.02,0.05,0.4098360655737705,0.42857142857142855,122,0.41622239992891735,0.4,0.4,50,2,1.2,2.0,0.6,0.02,0.05,0.39957350393176067
7731.T,2,1.2,1.5,1.0,0.02,0.02,0.26,0.28493150684931506,200,0.2807439635797845,0.2608695652173913,0.2823529411764706,69,2,1.2,1.5,1.0,0.02,0.02,0.2820142982566161
7733.T,1,1.2,2.0,0.8,0.05,0.02,0.3028169014084507,0.26326530612244897,142,0.2603281919555411,0.37254901960784315,0.36774193548387096,51,1,1.2,2.0,0.8,0.05,0.02,0.35587015193922433
7735.T,2,1.2,2.0,0.8,0.02,0.05,0.3772455089820359,0.37799999999999995,167,0.36307400116876326,0.3469387755102041,0.35172413793103446,49,2,1.2,2.0,0.8,0.02,0.05,0.31841013594562173
