code,winrate,pf,ATR_n,TPk,SLk
7261.T,0.270146257527961,0.8078902229845626,2,1,2
7267.T,0.29626334519572955,0.8135179153094463,5,1,2
7269.T,0.2853000869817338,1.049040511727079,3,1,2
7270.T,0.30294287362954414,1.1958997722095672,5,1,2
7272.T,0.31998887962190714,1.2376344086021505,3,1,2
7453.T,0.3368662274419937,1.3066666666666666,5,1,2
7532.T,0.3162266389795313,1.2751196172248804,3,1,2
7731.T,0.2709825264967058,0.9441117764471058,3,1,2
7733.T,0.31122297897542195,1.4202702702702703,5,1,2
7735.T,0.2582944886207842,0.7983050847457627,2,1,2
7751.T,0.26204986149584486,0.8874296435272045,2,1,2
7752.T,0.2998891352549889,1.2102908277404922,3,1,2
7762.T,0.3904899135446686,1.7416452442159382,1,1,2
7832.T,0.2762678621462595,0.948076923076923,5,1,2
7936.T,0.2928004535147392,0.9356884057971014,2,1,2
7951.T,0.28419775553533516,0.9968085106382979,5,1,2
7974.T,0.29884057971014494,0.8980836236933798,2,1,2
8001.T,0.3519785778042249,1.5127877237851663,5,1,2
8002.T,0.32595512431776835,1.1534334763948497,5,1,2
8015.T,0.311284046692607,1.3577023498694516,5,1,2
8031.T,0.347917923958962,1.5665760869565217,2,1,2
8035.T,0.3233447488584475,0.9410299003322259,3,1,2
8053.T,0.32508630609896433,1.4231738035264483,2,1,2
8058.T,0.3333333333333333,1.2211328976034859,2,1,2
8113.T,0.29204052098408106,1.1414027149321266,2,1,2
8136.T,0.2629310344827586,0.6727941176470589,5,1,2
8233.T,0.27815315315315314,0.8743362831858407,2,1,2
8267.T,0.28329694323144106,0.9848197343453511,2,1,2
8306.T,0.36334120425029515,1.024126455906822,2,1,2
8308.T,0.3208740655549166,1.125,5,1,2
8309.T,0.29394387001477107,1.0698924731182795,3,1,2
8316.T,0.29781659388646287,0.9578651685393258,2,1,2
8331.T,0.27049180327868855,1.0899772209567198,2,1,2
8410.T,0.3498339873226683,1.4099756690997567,2,1,2
8411.T,0.3346326836581709,1.2077922077922079,5,1,2
8473.T,0.2578080636002271,0.6837349397590361,3,1,2
8515.T,0.4053117782909931,1.3146067415730338,1,1,2
8524.T,0.3551829268292683,1.4859693877551021,1,1,2
8591.T,0.309024612579763,1.1175824175824176,2,1,2
8593.T,0.34936861094407695,1.1482213438735178,2,1,2
8601.T,0.33945497630331756,1.152917505030181,3,1,2
8604.T,0.33756858215420155,1.004295532646048,5,1,2
8630.T,0.2834556747600226,0.996031746031746,5,1,2
8697.T,0.25504691498436166,0.9266528925619835,2,1,2
8698.T,0.35653699912255044,1.6744505494505495,1,1,2
8725.T,0.318246512951893,1.296983758700696,2,1,2
8729.T,0.2786660575605299,0.6947608200455581,2,1,2
8750.T,0.3157894736842105,1.1721854304635762,2,1,2
8766.T,0.28335201793721976,0.9124548736462094,5,1,2
8795.T,0.29070100143061517,1.007936507936508,5,1,2
8801.T,0.3069503546099291,1.1365546218487395,2,1,2
8802.T,0.27398843930635836,0.8229166666666666,3,1,2
8848.T,0.3534218590398366,1.8146853146853146,1,1,2
9009.T,0.25913915094339623,1.0220930232558139,3,1,2
9020.T,0.2546795235394214,1.0112612612612613,2,1,2
9021.T,0.28010247651579845,0.9609375,3,1,2
9022.T,0.2542519458057077,0.9423076923076923,3,1,2
9023.T,0.2971561230412072,1.0644490644490645,2,1,2
9101.T,0.3263931414574403,1.1511879049676026,3,1,2
9104.T,0.3092436974789916,0.9034369885433715,5,1,2
9107.T,0.31456084038517657,0.9944649446494465,3,1,2
9201.T,0.29572702121118966,1.173170731707317,5,1,2
9202.T,0.2845272206303725,1.060897435897436,2,1,2
9424.T,0.7724137931034483,6.72,1,1,2
9432.T,0.5336694274396832,1.2775862068965518,3,1,2
9433.T,0.2910578609000584,0.8341708542713567,5,1,2
9434.T,0.3767144163364828,0.939209726443769,3,1,2
9501.T,0.3125,0.843701399688958,5,1,2
9502.T,0.3173780487804878,1.586890243902439,5,1,2
9503.T,0.33137312555130843,1.452319587628866,2,1,2
9504.T,0.3170731707317073,1.25,5,1,2
9506.T,0.3308134260659208,1.5279329608938548,3,1,2
9508.T,0.33909931404712196,1.6014084507042254,5,1,2
9509.T,0.32220367278797996,1.0017301038062283,3,1,2
9697.T,0.28399888299357723,1.0314401622718052,3,1,2
9831.T,0.2573344509639564,0.8688679245283019,2,1,2
9843.T,0.2864233576642336,0.9414587332053743,3,1,2
9984.T,0.3368025440878867,0.951797385620915,5,1,2
