code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
5074.T,2,1.2,1.5,1.0,0.02,0.05,0.14285714285714285,0.13827160493827162,98,0.13317341862117982,0.2647058823529412,0.31304347826086953,34,2,1.2,1.5,1.0,0.02,0.05,0.28765458422174844
5482.T,1,1.2,1.5,0.6,0.05,0.02,0.16666666666666666,0.1643835616438356,90,0.1598081023454158,0.37142857142857144,0.4952380952380952,35,1,1.2,1.5,0.6,0.05,0.02,0.47216030238418305
5535.T,1,1.2,1.5,0.6,0.02,0.05,0.2,0.20571428571428568,45,0.19976012793176975,0.16666666666666666,0.15999999999999998,18,1,1.2,1.5,0.6,0.02,0.05,0.1598081023454158
5586.T,5,1.2,1.5,1.0,0.02,0.05,0.44,0.6769230769230768,25,0.6278175449284191,0.3,0.3428571428571428,10,5,1.2,1.5,1.0,0.02,0.05,0.34244593359731956
5602.T,3,1.2,2.0,0.6,0.02,0.05,0.29411764705882354,0.25609756097560976,119,0.24973343995735045,0.21568627450980393,0.17368421052631577,51,3,1.2,2.0,0.6,0.02,0.05,0.1648240703718513
5707.T,3,1.2,1.5,0.6,0.05,0.02,0.21348314606741572,0.21714285714285714,89,0.2168824246116357,0.21875,0.23333333333333334,32,3,1.2,1.5,0.6,0.05,0.02,0.22373134328358213
5842.T,5,1.2,2.0,0.6,0.05,0.02,0.06349206349206349,0.041379310344827586,63,0.040634593620179044,0.6363636363636364,1.05,11,5,1.2,2.0,0.6,0.05,0.02,1.0488804478208718
5851.T,3,1.2,1.5,1.0,0.05,0.02,0.3246753246753247,0.38461538461538464,77,0.3841540921764803,0.23728813559322035,0.26666666666666666,59,3,1.2,1.5,1.0,0.05,0.02,0.24859038142620238
5930.T,5,1.2,1.5,0.6,0.05,0.02,0.19117647058823528,0.1925925925925926,68,0.1888641209536732,0.36363636363636365,0.45714285714285713,22,5,1.2,1.5,0.6,0.05,0.02,0.4565945781297594
5943.T,3,1.2,1.5,1.0,0.02,0.02,0.463768115942029,0.6918918918918918,69,0.6910620641963927,0.18181818181818182,0.1846153846153846,33,3,1.2,1.5,1.0,0.02,0.02,0.17756455816157313
5998.T,1,1.0,2.0,1.0,0.02,0.05,0.3333333333333333,0.3333333333333333,12,0.24970011995201913,0.5555555555555556,0.8333333333333334,9,1,1.0,2.0,1.0,0.02,0.05,0.624250299880048
6062.T,3,1.2,2.0,0.8,0.05,0.05,0.34782608695652173,0.31999999999999995,69,0.31965880314540857,0.19047619047619047,0.15,21,3,1.2,2.0,0.8,0.05,0.05,0.1410259425641508
6080.T,1,1.2,1.5,0.8,0.05,0.02,0.46153846153846156,0.6857142857142856,13,0.6848918671946391,0.5555555555555556,1.3333333333333333,9,1,1.2,1.5,0.8,0.05,0.02,0.9988006396588488
6250.T,2,1.2,1.5,0.6,0.02,0.02,0.2375,0.24918032786885247,80,0.2488814708658115,0.1,0.08888888888888888,30,2,1.2,1.5,0.6,0.02,0.02,0.08878227908078656
6309.T,3,1.2,2.0,0.6,0.05,0.05,0.36923076923076925,0.3789473684210526,65,0.3508450278425216,0.46153846153846156,0.5142857142857142,13,3,1.2,2.0,0.6,0.05,0.05,0.5137373621979779
6356.T,5,1.2,1.5,0.8,0.05,0.02,0.19736842105263158,0.19672131147540983,76,0.19648537173616698,0.4583333333333333,0.6769230769230768,24,5,1.2,1.5,0.8,0.05,0.02,0.6761112022306052
