code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
2872.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,2,0.0,0.125,0.13333333333333333,8,1,0.8,1.5,0.6,0.02,0.02,0.07607371306731649
2934.T,3,1.2,2.0,0.6,0.02,0.02,0.35714285714285715,0.42857142857142855,14,0.3329779199431339,0.4827586206896552,0.6,29,3,1.2,2.0,0.6,0.02,0.02,0.5594029055044649
2936.T,1,1.2,1.5,0.8,0.02,0.02,0.5384615384615384,0.9333333333333333,13,0.9322139303482587,0.2962962962962963,0.3764705882352941,27,1,1.2,1.5,0.8,0.02,0.02,0.3364381102008754
3041.T,5,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,,1.0,999.0,3,5,0.8,1.5,0.6,0.02,0.02,
3045.T,3,0.8,2.0,0.6,0.02,0.02,1.0,999.0,1,,0.5,0.4000000000000001,6,3,0.8,2.0,0.6,0.02,0.02,0.3994402239104359
3113.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,1.0,999.0,2,1,0.8,1.5,0.6,0.02,0.02,
3139.T,5,1.2,1.5,1.0,0.02,0.02,0.65,1.7333333333333334,20,1.4839323789217183,0.26229508196721313,0.28444444444444444,61,5,1.2,1.5,1.0,0.02,0.02,0.28410329305851695
3349.T,5,1.2,1.5,1.0,0.02,0.02,0.20175438596491227,0.20444444444444443,114,0.20195529417277816,0.248,0.26666666666666666,125,5,1.2,1.5,1.0,0.02,0.02,0.26351336025041966
3541.T,1,1.2,2.0,0.6,0.05,0.02,0.6,0.8999999999999999,10,0.8990403838464615,0.36666666666666664,0.388235294117647,30,1,1.2,2.0,0.6,0.05,0.02,0.3469980428881079
3647.T,2,1.2,1.5,0.8,0.02,0.05,0.36666666666666664,0.5176470588235293,30,0.4626024015262036,0.10126582278481013,0.0955223880597015,79,2,1.2,1.5,0.8,0.02,0.05,0.0900327337157272
3766.T,3,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,1.0,999.0,2,3,0.8,1.5,0.6,0.02,0.02,
3835.T,1,0.8,2.0,0.6,0.02,0.02,1.0,999.0,1,,0.35294117647058826,0.21818181818181823,17,1,0.8,2.0,0.6,0.02,0.02,0.21787648576932866
3856.T,3,1.2,1.5,0.6,0.05,0.05,0.29508196721311475,0.3428571428571428,61,0.33448207467645164,0.13513513513513514,0.125,37,3,1.2,1.5,0.6,0.05,0.05,0.12485007995735609
3902.T,5,1.2,1.5,0.8,0.02,0.05,0.15384615384615385,0.14545454545454545,39,0.14528009304128708,0.2318840579710145,0.25098039215686274,69,5,1.2,1.5,0.8,0.02,0.05,0.24121977712515594
3929.T,5,1.2,1.5,0.6,0.02,0.02,0.5,0.7999999999999999,2,0.799040511727079,0.3333333333333333,0.39999999999999997,3,5,1.2,1.5,0.6,0.02,0.02,0.3995202558635394
3935.T,1,1.2,1.5,0.8,0.02,0.02,0.40350877192982454,0.5575757575757575,57,0.5405274049918474,0.2222222222222222,0.23132530120481926,108,1,1.2,1.5,0.8,0.02,0.02,0.2282972890648797
3955.T,2,0.8,1.5,0.6,0.02,0.02,0.5,999.0,2,0.5325159914712154,0.2222222222222222,0.1523809523809524,9,2,0.8,1.5,0.6,0.02,0.02,0.15214742613463297
3987.T,2,1.2,1.5,0.6,0.02,0.05,0.25,0.26666666666666666,4,0.26634683724235964,0.15,0.14545454545454545,40,2,1.2,1.5,0.6,0.02,0.05,0.14100714912830806
4176.T,1,1.2,1.5,0.8,0.02,0.05,0.23076923076923078,0.23999999999999996,13,0.23971215351812372,0.23809523809523808,0.25,42,1,1.2,1.5,0.8,0.02,0.05,0.24970015991471214
4198.T,1,0.8,1.5,0.8,0.02,0.02,1.0,999.0,1,,0.0,0.0,15,1,0.8,1.5,0.8,0.02,0.02,0.0
4343.T,1,1.2,1.5,0.6,0.02,0.02,0.5,0.7999999999999999,2,0.799040511727079,0.20689655172413793,0.26666666666666666,29,1,1.2,1.5,0.6,0.02,0.02,0.20844535088532493
4365.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
4385.T,5,1.2,1.5,1.0,0.02,0.05,0.2857142857142857,0.32,98,0.3196162046908316,0.3220338983050847,0.38,118,5,1.2,1.5,1.0,0.02,0.05,0.37954424307036255
4429.T,2,1.2,1.5,0.6,0.05,0.02,0.5,0.7999999999999999,2,0.799040511727079,0.5,0.7999999999999999,8,2,1.2,1.5,0.6,0.05,0.02,0.799040511727079
4664.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,,0.2,0.13333333333333333,5,1,0.8,1.5,0.6,0.02,0.02,0.13312899786780386
5035.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
5246.T,3,1.2,1.5,0.6,0.02,0.02,0.20588235294117646,0.21,102,0.20715865118850194,0.0851063829787234,0.07441860465116279,141,3,1.2,1.5,0.6,0.02,0.02,0.07432934992810038
