シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,相対ボリューム (対時間比),セクター,ボラティリティ 1日,価格 * 出来高 (売買代金) 1分,価格 * 出来高 (売買代金) 1分 - 通貨,価格 * 出来高 (売買代金) 5分,価格 * 出来高 (売買代金) 5分 - 通貨,価格 * 出来高 (売買代金) 15分,価格 * 出来高 (売買代金) 15分 - 通貨,価格 * 出来高 (売買代金) 1日,価格 * 出来高 (売買代金) 1日 - 通貨,価格変動 % 1分,価格変動 % 5分,価格変動 % 15分,価格変動 % 1日,始値からの変動 % 1分,始値からの変動 % 5分,始値からの変動 % 15分,始値からの変動 % 1日,ADR (日中平均レンジ) %,ADX (平均方向性指数) (14) 1日,ATR (アベレージ・トゥルー・レンジ) % (14) 1分,ATR (アベレージ・トゥルー・レンジ) % (14) 5分,ATR (アベレージ・トゥルー・レンジ) % (14) 15分,ATR (アベレージ・トゥルー・レンジ) % (14) 1日
7201,日産自動車,374.6,JPY,1.3528138528138527,6221500,0.1962946486321057,1290344274824,JPY,1.523898762477017,耐久消費財,2.3380811609782284,10975780,JPY,161115460,JPY,2334095140,JPY,2330573900,JPY,-0.02668801708032183,-0.2131060202450598,1.3528138528138527,1.3528138528138527,-0.02668801708032183,-0.23968042609852921,0.5367686527106816,0.5367686527106816,2.6123102738164845,22.56403672993315,0.25897384853252675,0.3737499542834647,0.546725762159438,2.8057684763407913
8105,堀田丸正,573,JPY,-12.51908396946565,5394600,0.4220245066171621,32228039028,JPY,0.42207370524474264,素材産業,18.021201413427562,57586500,JPY,57586500,JPY,57586500,JPY,3091105800,JPY,0.5263157894736842,0.5263157894736842,0.5263157894736842,-12.51908396946565,0,0,0,-13.834586466165414,21.752680129643476,32.09019620401782,0.8173842596896007,1.562782053906012,1.9063862057313374,18.314070795275896
3323,レカム,153,JPY,-4.968944099378882,4432300,0.10780122041595515,13140378242,JPY,0.9027883069166641,流通サービス,8.783783783783784,28086000,JPY,102438400,JPY,641780200,JPY,678141900,JPY,0.6666666666666667,1.342281879194631,-6.211180124223603,-4.968944099378882,1.342281879194631,2.027027027027027,-1.948051948051948,-0.6493506493506493,10.597572362278612,62.35477559557936,1.3937342798471903,2.1612759321744197,3.772950772429805,9.558505765988427
6315,ＴＯＷＡ,2505,JPY,5.031446540880504,4382500,0.6167531692598678,179219343109,JPY,4.112584311441937,製造加工,6.522642293311176,210254200,JPY,1420595800,JPY,10969097100,JPY,10978162500,JPY,0.23971234518577705,-0.3574265289912629,5.19916142557652,5.031446540880504,0.2797761790567546,-0.39698292973402144,3.463917525773196,3.2989690721649487,4.1716566866268465,35.376985012325335,0.6857058636789041,0.8204475887778874,1.2563243366599228,4.146811558367085
6920,レーザーテック,22055,JPY,4.057560745458835,4226000,0.4039345866839226,1911320960999,JPY,2.8991974060331738,電子テクノロジー,4.520838238756769,2407860000,JPY,14742630000,JPY,93084075000,JPY,93204430000,JPY,-0.4289907428313389,0.45558086560364464,4.033970276008493,4.057560745458835,-0.4289907428313389,0.43270325666135273,3.5697510568341944,3.593236261155472,2.9585128088868737,28.157151586314477,0.5875302343398089,0.7270275119691362,1.1596795838487222,3.750839885388957
6758,ソニーグループ,4244,JPY,-3.3257403189066057,4129300,0.29533773625659976,26823020039062,JPY,1.898535874188758,電子テクノロジー,4.1518386714116255,258823000,JPY,1098937000,JPY,17459945000,JPY,17524749200,JPY,-0.14120969639915276,-0.16470588235294117,-3.348519362186788,-3.3257403189066057,-0.14120969639915276,-0.18819101387908727,-0.16470588235294117,-0.1411764705882353,2.596943584219687,39.057871287860145,0.3533940501318411,0.4684637862635214,0.6806920814921332,2.930088602627519
4689,ＬＩＮＥヤフー,476.6,JPY,-2.03494347379239,3789100,0.24814875696405966,3281525642090,JPY,2.2848101720399856,テクノロジーサービス,3.006563624814734,21499170,JPY,61732650,JPY,1808266110,JPY,1805885060,JPY,-0.020973154362420875,-0.020973154362420875,-2.0143884892086352,-2.03494347379239,-0.020973154362420875,-0.020973154362420875,-0.3761755485893441,-0.3970741901776337,1.8344223967386712,19.23190306956331,0.25171544775090365,0.3524438102134539,0.45913827876404195,2.189178083492288
8411,みずほフィナンシャルグループ,4982,JPY,1.013787510137875,3719500,0.4380004710315588,12257250591797,JPY,2.8507203843435702,金融,2.812374447569305,173443200,JPY,949452000,JPY,18490141600,JPY,18530549000,JPY,-0.08019246190858059,-0.43947263284059124,1.05433901054339,1.013787510137875,-0.10022048506714773,-0.4195804195804196,-0.6577636037472593,-0.6976280645804266,1.8523828640247277,24.781430057548974,0.3131609754807961,0.41886382984106413,0.49819114620141375,2.0132043319456705
7203,トヨタ自動車,2933,JPY,-1.0458839406207827,3479000,0.15185780278040767,38630969812500,JPY,1.0086722300110191,耐久消費財,1.1086474501108647,169556300,JPY,629235750,JPY,10103560700,JPY,10203907000,JPY,-0.06813149378300119,-0.1021624382768602,-1.0290148448043186,-1.0458839406207827,-0.06813149378300119,-0.1191692202928158,-0.727580372250423,-0.7445008460236886,1.5038234864349387,28.44840122309219,0.15392139916144246,0.19415894119004143,0.29686954560177875,1.790594623533287
5721,エス・サイエンス,235,JPY,-6,3304800,0.10155638041604068,38937686920,JPY,0.8686954932510046,流通サービス,7.296137339055794,12784000,JPY,88830000,JPY,776228500,JPY,776628000,JPY,-0.423728813559322,0.8583690987124464,-6,-6,-0.423728813559322,0.8583690987124464,-4.471544715447155,-4.471544715447155,15.714285714285708,46.60567067724224,0.9995290682156347,1.4514319838591712,2.295104070800622,15.347107653865722
