winrate_TR,pf_TR,trades_TR,code,ATR_n_TR,TPk_TR,SLk_TR,J_th_TR,dJ_th_TR,vEMA_th_TR,PF_eff_TR,winrate_FW,pf_FW,trades_FW,ATR_n_FW,TPk_FW,SLk_FW,J_th_FW,dJ_th_FW,vEMA_th_FW,PF_eff_FW
0.3618843683083512,0.27876288659793813,934,3436.T,2,1.2,2.5,1.0,0.05,0.05,0.2719462657855527,0.0,0.0,0,2,1.2,2.5,1.0,0.05,0.05,0.0
0.31780167264038234,0.28098591549295776,837,3563.T,2,1.2,2.0,0.8,0.05,0.05,0.27921160782622156,0.0,0.0,0,2,1.2,2.0,0.8,0.05,0.05,0.0
0.3604887983706721,0.2753970826580227,982,3635.T,2,1.2,2.5,0.6,0.05,0.05,0.27030636820421294,0.0,0.0,0,2,1.2,2.5,0.6,0.05,0.05,0.0
0.26136363636363635,0.28307692307692306,88,3647.T,1,1.2,1.5,0.6,0.02,0.02,0.28273741184188944,0.0,0.0,0,1,1.2,1.5,0.6,0.02,0.02,0.0
0.3411420204978038,0.2518918918918919,683,3687.T,1,1.2,2.5,0.6,0.05,0.05,0.24828819222293308,0.0,0.0,0,1,1.2,2.5,0.6,0.05,0.05,0.0
0.3534971644612476,0.2679402985074627,529,3692.T,1,1.2,2.5,0.6,0.05,0.05,0.2621972664653744,0.0,0.0,0,1,1.2,2.5,0.6,0.05,0.05,0.0
0.3245521601685985,0.2324528301886792,949,3697.T,2,1.2,2.5,1.0,0.05,0.02,0.23041213395176885,0.0,0.0,0,2,1.2,2.5,1.0,0.05,0.02,0.0
0.33406593406593404,0.24279534109816972,910,3774.T,3,1.2,2.5,1.0,0.02,0.02,0.2405545736915342,0.0,0.0,0,3,1.2,2.5,1.0,0.02,0.02,0.0
0.31899641577060933,0.22723404255319146,837,3861.T,3,1.2,2.5,0.6,0.05,0.05,0.22462033202006942,0.0,0.0,0,3,1.2,2.5,0.6,0.05,0.05,0.0
0.3105656350053362,0.21962264150943395,937,3905.T,5,1.2,2.5,0.6,0.02,0.02,0.21600963852557897,0.0,0.0,0,5,1.2,2.5,0.6,0.02,0.02,0.0
0.27030625832223704,0.29635036496350364,751,3923.T,5,1.2,1.5,0.6,0.02,0.05,0.2959949340886808,0.0,0.0,0,5,1.2,1.5,0.6,0.02,0.05,0.0
0.21345707656612528,0.21970149253731341,431,3935.T,1,1.2,1.5,0.6,0.05,0.05,0.21684875244510696,0.0,0.0,0,1,1.2,1.5,0.6,0.05,0.05,0.0
0.3135678391959799,0.22088495575221237,995,4004.T,5,1.2,2.5,0.6,0.02,0.02,0.21905166042327662,0.0,0.0,0,5,1.2,2.5,0.6,0.02,0.02,0.0
0.35336538461538464,0.26426966292134835,832,4005.T,3,1.2,2.5,0.6,0.05,0.05,0.2620461080706962,0.0,0.0,0,3,1.2,2.5,0.6,0.05,0.05,0.0
0.398989898989899,0.3278386167146974,594,402A.T,1,1.2,2.5,0.6,0.05,0.02,0.3183411560401513,0.0,0.0,0,1,1.2,2.5,0.6,0.05,0.02,0.0
0.3516597510373444,0.2620289855072464,964,4042.T,2,1.2,2.5,0.6,0.02,0.05,0.2600952015355087,0.0,0.0,0,2,1.2,2.5,0.6,0.02,0.05,0.0
0.27358490566037735,0.1813024602026049,954,4043.T,2,1.2,2.5,0.6,0.05,0.02,0.1806009090078188,0.0,0.0,0,2,1.2,2.5,0.6,0.05,0.02,0.0
0.25638297872340426,0.20895953757225433,940,4062.T,3,1.2,2.0,0.6,0.02,0.05,0.20664638293466592,0.0,0.0,0,3,1.2,2.0,0.6,0.02,0.05,0.0
