code,mode,signal_mode,session,ATR_n,TPk,SLk,J_th,forward_pf_eff,forward_exp_bp,ts,date,side,pnl_bp,bars,gap_bp,gap_bucket,market_ret_5m,market_bias,vol_spike,repeat_index,j_abs,j_range,sector_code,batch_folder,batch_kind,run_path,ts_exit,win
5801.T,refine,j-cross,AM15,3,1.8,2.2,1.65,0.0703820180293645,-57.0920976421873,2025-10-15 00:43:00+00:00,2025-10-15,SELL,-68.2893636269306,53,32.71660649819495,<80bp,6.319497589168943,neutral,0.815737975074673,5,2.3297952120819043,2.808790207369772,58,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-15 01:36:00+00:00,False
5801.T,refine,j-cross,AM15,3,1.8,2.2,1.65,0.0703820180293645,-57.0920976421873,2025-10-15 00:45:00+00:00,2025-10-15,SELL,-65.04364150864146,47,32.71660649819495,<80bp,28.172261269214797,up,0.7540949830019573,6,2.1123896801289237,2.808790207369772,58,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-15 01:32:00+00:00,False
5801.T,refine,j-cross,AM15,3,1.8,2.2,1.65,0.0703820180293645,-57.0920976421873,2025-10-15 00:55:00+00:00,2025-10-15,SELL,-62.177863277449866,37,32.71660649819495,<80bp,-7.212140005792289,neutral,0.8354430379746836,7,1.9010335544702848,3.913400059965692,58,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-15 01:32:00+00:00,False
5801.T,refine,j-cross,AM15,3,1.8,2.2,1.65,0.0703820180293645,-57.0920976421873,2025-10-15 01:11:00+00:00,2025-10-15,SELL,-48.603017612425845,8,32.71660649819495,<80bp,-6.1960267978156125,neutral,0.624899855792341,8,2.428465279614909,3.913400059965692,58,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-15 01:19:00+00:00,False
5801.T,refine,j-cross,AM15,3,1.8,2.2,1.65,0.0703820180293645,-57.0920976421873,2025-10-15 01:13:00+00:00,2025-10-15,SELL,-50.7486867937472,6,32.71660649819495,<80bp,0.6143033497818529,neutral,0.7680872150644202,9,1.8194500763760408,3.913400059965692,58,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-15 01:19:00+00:00,False
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-09-24 00:15:00+00:00,2025-09-24,BUY,56.35689841661693,5,-24.376523532720796,<80bp,0.0,neutral,0.0,1,1.5566430513363558,1.5566430513363558,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-09-24 00:20:00+00:00,True
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-09-24 00:22:00+00:00,2025-09-24,SELL,45.3518755153561,38,-24.376523532720796,<80bp,0.0,neutral,0.4254235280180073,1,1.672746518992536,1.672746518992536,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-09-24 01:00:00+00:00,True
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-09-24 00:25:00+00:00,2025-09-24,SELL,53.15202339265733,13,-24.376523532720796,<80bp,0.0,neutral,1.6288923191568638,2,2.550562045410261,2.550562045410261,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-09-24 00:38:00+00:00,True
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-09-24 00:35:00+00:00,2025-09-24,SELL,40.60142934132401,3,-24.376523532720796,<80bp,0.0,neutral,0.8128667680938926,3,1.7829537460409983,4.019537508306096,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-09-24 00:38:00+00:00,True
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-09-24 01:00:00+00:00,2025-09-24,BUY,22.961025107113183,5,-24.376523532720796,<80bp,0.0,neutral,1.7303267372296365,2,2.038058455879553,4.019537508306096,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-09-24 01:05:00+00:00,True
