code,mode,signal_mode,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
4755.T,coarse,j-only,2,0.0,0.0,0.0,-63.39132831734114,0,1
5076.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4901.T,coarse,j-only,8,0.375,0.3391074765953921,0.3391074765953921,-17.339124909164155,0,1
4911.T,coarse,j-only,8,0.625,1.0841640531589583,1.0841640531589583,0.9483408576346326,0,1
5016.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
5406.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
5020.T,coarse,j-only,3,0.6666666666666666,1.0224968663068885,1.0224968663068883,0.22845431715097794,0,1
5724.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
5108.T,coarse,j-only,5,0.4,0.32421986474147724,0.3242198647414773,-7.327338448215232,0,1
5595.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
5711.T,coarse,j-only,2,1.0,999.0,999.0,18.251414243341436,0,1
5952.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
5411.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
5401.T,coarse,j-only,2,1.0,999.0,999.0,19.761739501438726,0,1
5726.T,coarse,j-only,2,1.0,999.0,999.0,100.11629161450541,0,1
5631.T,coarse,j-only,5,0.2,0.17056449442584634,0.17056449442584634,-58.349697555580576,0,1
5991.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
5713.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
5706.T,coarse,j-only,5,1.0,999.0,999.0,117.7458234055684,0,1
6113.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
5803.T,coarse,j-only,9,0.3333333333333333,0.5230039194648648,0.5230039194648647,-16.672600187521187,0,1
5801.T,coarse,j-only,7,0.2857142857142857,0.3197668514822978,0.3197668514822977,-25.362284283811523,0,1
6177.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6141.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
5802.T,coarse,j-only,4,0.0,0.0,0.0,-32.14605671302783,0,1
5838.T,coarse,j-only,2,0.5,0.5728569832427948,0.5728569832427948,-10.892647264269652,0,1
6232.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6268.T,coarse,j-only,2,0.5,0.5126390593788376,0.5126390593788376,-12.200726389214658,0,1
6471.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6460.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6098.T,coarse,j-only,1,1.0,999.0,999.0,7.08485229415462,0,1
6330.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6178.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6146.T,coarse,j-only,7,0.5714285714285714,0.6047757374198113,0.6047757374198113,-13.661314479396342,0,1
6324.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6479.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6301.T,coarse,j-only,3,1.0,999.0,999.0,10.318403986440167,0,1
6472.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6315.T,coarse,j-only,4,0.0,0.0,0.0,-95.49686461801888,0,1
6326.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6323.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6367.T,coarse,j-only,7,0.8571428571428571,2.9736876284005804,2.973687628400579,6.8211665379193205,0,1
6361.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6753.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6754.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6501.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6532.T,coarse,j-only,1,0.0,0.0,0.0,-68.0131346013932,0,1
