mode,signal_mode,session,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_wins,train_losses,train_flats,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total,forward_wins,forward_losses,forward_flats,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total,forward_win_ci_low,forward_win_ci_high,forward_exp_boot_mean,forward_exp_boot_low,forward_exp_boot_high
coarse,j-only,AM10,1357.T,1,1.5,1.0,0.4,0.0,0.0,0,7,13,0,20,0.35,0.5138206631799358,0.5138206631799358,-9.95071439127841,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
coarse,j-only,AM10,1321.T,1,1.5,1.0,0.4,0.0,0.0,0,14,18,0,32,0.4375,0.32760894027507714,0.32760894027507714,-6.863247707948016,0,1,1,2,0,3,0.3333333333333333,0.10631578156337405,0.10631578156337403,-11.30909654518433,0,1,0.0614903152761605,0.7923450448735121,-11.30909654518433,-11.30909654518433,-11.30909654518433
coarse,j-only,AM10,1360.T,1,1.2,2.0,0.4,0.0,0.0,0,11,7,0,18,0.6111111111111112,0.6698106702128624,0.6698106702128626,-6.412587953734393,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
coarse,j-only,AM10,1570.T,1,1.2,1.0,0.4,0.0,0.0,0,8,13,0,21,0.38095238095238093,0.3942659231406746,0.3942659231406746,-12.223787850791863,0,1,1,2,0,3,0.3333333333333333,0.19706392460121086,0.19706392460121083,-17.684697215994166,0,1,0.0614903152761605,0.7923450448735121,-17.684697215994166,-17.684697215994166,-17.684697215994166
coarse,j-only,AM10,1579.T,1,1.5,1.0,0.8,0.0,0.0,0,6,8,0,14,0.42857142857142855,0.5334083185734289,0.5334083185734289,-8.07739642201936,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
coarse,j-only,AM10,1540.T,5,1.5,1.0,0.4,0.0,0.0,0,8,6,0,14,0.5714285714285714,1.7863089492935578,1.7863089492935573,7.454071302616909,0,1,0,1,0,1,0.0,0.0,0.0,-19.790820010315525,0,1,0.0,0.7934567085261071,-19.79082001031552,-19.790820010315525,-19.790820010315525
coarse,j-only,AM10,1925.T,1,1.2,1.0,0.4,0.0,0.0,0,5,0,0,5,1.0,999.0,999.0,10.423141702957281,0,1,4,4,0,8,0.5,0.3574340798387156,0.3574340798387156,-7.39243320717671,0,1,0.21521252682444186,0.7847874731755582,-7.392433207176709,-7.39243320717671,-7.39243320717671
coarse,j-only,AM10,1458.T,1,1.2,2.0,0.4,0.0,0.0,0,12,6,0,18,0.6666666666666666,0.7862874240496465,0.7862874240496464,-3.6015361266094126,0,1,1,2,0,3,0.3333333333333333,0.061355490487562114,0.06135549048756211,-36.7137200531754,0,1,0.0614903152761605,0.7923450448735121,-36.7137200531754,-36.7137200531754,-36.7137200531754
coarse,j-only,AM10,1928.T,3,1.2,1.5,0.4,0.0,0.0,0,4,0,0,4,1.0,999.0,999.0,16.58333590650631,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
coarse,j-only,AM10,1942.T,1,1.2,1.0,0.4,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,9,0,10,0.1,0.07367483172770596,0.07367483172770597,-46.649156328207916,0,1,0.01787574951572113,0.4041563854975721,-46.64915632820792,-46.649156328207916,-46.649156328207916
coarse,j-only,AM10,186A.T,1,1.2,1.0,0.4,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
coarse,j-only,AM10,2127.T,1,1.2,1.0,0.4,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
coarse,j-only,AM10,2181.T,1,1.2,1.0,0.4,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
coarse,j-only,AM10,2160.T,1,1.2,1.0,0.4,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
coarse,j-only,AM10,2334.T,1,1.2,1.0,0.4,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
coarse,j-only,AM10,218A.T,1,1.2,1.0,0.4,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,1,0,3,0.6666666666666666,3.8379907984635504,3.83799079846355,69.77538297547021,0,1,0.2076549551264879,0.9385096847238394,69.77538297547021,69.77538297547021,69.77538297547021
coarse,j-only,AM10,2433.T,1,1.2,1.0,0.4,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
coarse,j-only,AM10,2267.T,1,1.2,1.0,0.4,0.0,0.0,0,0,4,0,4,0.0,0.0,0.0,-13.735793443993206,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
coarse,j-only,AM10,2503.T,1,1.2,2.0,0.4,0.0,0.0,0,4,0,0,4,1.0,999.0,999.0,12.092136361051852,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
coarse,j-only,AM10,2036.T,1,1.2,1.0,0.4,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
coarse,j-only,AM10,219A.T,1,1.5,1.0,0.6,0.0,0.0,0,1,6,0,7,0.14285714285714285,0.13945048494303816,0.13945048494303816,-81.57731815220816,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
coarse,j-only,AM10,2269.T,1,1.2,1.0,0.4,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0,0,2,1.0,999.0,999.0,2.0133912954351496,0,1,0.34237195288961925,1.0,2.013391295435149,2.0133912954351496,2.0133912954351496
coarse,j-only,AM10,2670.T,1,1.2,1.0,0.4,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
coarse,j-only,AM10,2413.T,1,1.2,2.0,0.4,0.0,0.0,0,5,0,0,5,1.0,999.0,999.0,19.56636735599405,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
coarse,j-only,AM10,247A.T,1,1.2,1.0,0.8,0.0,0.0,0,3,0,0,3,1.0,999.0,999.0,272.9297736201636,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
coarse,j-only,AM10,276A.T,1,1.2,1.0,0.4,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
