code,mode,signal_mode,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total
4588.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4523.T,coarse,j-only,3,1.2,1.5,0.4,0.0,0.0,0,12,0.6666666666666666,0.7397054904447158,0.7397054904447157,-3.49715083367013,0,1
4543.T,coarse,j-only,5,1.5,1.5,0.4,0.0,0.0,0,7,0.7142857142857143,1.7190843590567757,1.719084359056776,6.797098880772073,0,1
4680.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4519.T,coarse,j-only,5,1.2,1.0,0.6,0.0,0.0,0,1,1.0,999.0,999.0,23.136913564799702,0,1
4612.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4578.T,coarse,j-only,5,1.5,1.0,1.0,0.0,0.0,0,3,0.3333333333333333,0.45739558050356377,0.4573955805035637,-10.806431675564204,0,1
4732.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4568.T,coarse,j-only,1,1.5,2.0,0.4,0.0,0.0,0,13,0.9230769230769231,3.34349341270551,3.3434934127055125,12.39407713473489,0,1
4814.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4751.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4592.T,coarse,j-only,1,1.2,1.5,0.4,0.0,0.0,0,3,1.0,999.0,999.0,72.21408766553024,0,1
4704.T,coarse,j-only,5,1.5,1.0,1.0,0.0,0.0,0,3,0.6666666666666666,1.7942550985852401,1.7942550985852397,11.668373599186156,0,1
4902.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4661.T,coarse,j-only,1,1.5,2.0,0.4,0.0,0.0,0,23,0.5652173913043478,0.5143131690608976,0.5143131690608976,-13.40978546119379,0,1
5019.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4889.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4689.T,coarse,j-only,1,1.5,1.0,0.4,0.0,0.0,0,8,0.125,0.21374271886348076,0.21374271886348076,-13.600284062730378,0,1
5101.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
5105.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
5246.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
5253.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4755.T,coarse,j-only,3,1.5,2.0,0.4,0.0,0.0,0,24,0.5416666666666666,0.5113370287400292,0.5113370287400292,-15.497077112023113,0,1
5076.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4901.T,coarse,j-only,5,1.5,1.0,0.4,0.0,0.0,0,25,0.24,0.13741664905314288,0.13741664905314283,-28.430085343764514,0,1
4911.T,coarse,j-only,5,1.5,1.5,0.4,0.0,0.0,0,10,0.4,0.9541094121198807,0.9541094121198807,-1.4709295064041386,0,1
5016.T,coarse,j-only,3,1.2,1.5,0.8,0.0,0.0,0,6,1.0,999.0,999.0,41.41506660870446,0,1
5406.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
5020.T,coarse,j-only,3,1.2,1.5,0.4,0.0,0.0,0,11,0.8181818181818182,1.5351438898256244,1.5351438898256249,4.524118444490165,0,1
5724.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
5108.T,coarse,j-only,5,1.5,1.0,0.6,0.0,0.0,0,14,0.35714285714285715,0.28299293581460644,0.28299293581460644,-12.128347912233128,0,1
5595.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
