code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
8002.T,5,1.2,2.0,0.8,0.05,0.02,0.41509433962264153,0.4258064516129032,106,0.42535243966929365,0.3565217391304348,0.33698630136986296,115,5,1.2,2.0,0.8,0.05,0.02,0.33207797961896324
8035.T,2,1.2,2.0,0.6,0.05,0.05,0.37037037037037035,0.35294117647058826,108,0.352564856410377,0.2773109243697479,0.25063291139240507,119,2,1.2,2.0,0.6,0.05,0.05,0.2299870749374669
8058.T,5,1.2,1.5,1.0,0.02,0.05,0.37383177570093457,0.47761194029850745,107,0.47703911147885314,0.288135593220339,0.32380952380952377,118,5,1.2,1.5,1.0,0.02,0.05,0.32342115950857964
8136.T,5,1.2,2.0,0.8,0.02,0.05,0.37777777777777777,0.36428571428571427,90,0.3638972982235677,0.375,0.3714285714285714,104,5,1.2,2.0,0.8,0.02,0.05,0.35961615353858456
8233.T,5,1.2,1.5,0.8,0.02,0.02,0.26126126126126126,0.2864197530864197,111,0.28258749804982064,0.203125,0.20392156862745098,128,5,1.2,1.5,0.8,0.02,0.02,0.20367699318533386
8267.T,3,1.2,2.0,0.6,0.05,0.02,0.23770491803278687,0.19333333333333333,122,0.18689728409711384,0.25,0.20240963855421687,112,3,1.2,2.0,0.6,0.05,0.02,0.19978675196588033
8306.T,5,1.2,2.0,0.6,0.05,0.05,0.2976190476190476,0.2542372881355932,84,0.25396621012611903,0.36363636363636365,0.34909090909090906,88,5,1.2,2.0,0.6,0.05,0.05,0.342491574798652
8308.T,1,1.2,1.5,0.6,0.05,0.02,0.30973451327433627,0.37333333333333335,113,0.3585438193647149,0.208,0.21443298969072164,125,1,1.2,1.5,0.6,0.05,0.02,0.20984902328185912
8316.T,1,1.2,1.5,0.6,0.05,0.02,0.24691358024691357,0.26229508196721313,81,0.2619804956482226,0.21428571428571427,0.227027027027027,98,1,1.2,1.5,0.6,0.05,0.02,0.21792013956193065
8411.T,2,1.2,1.5,1.0,0.05,0.05,0.3728813559322034,0.47567567567567565,118,0.47510516913502,0.2,0.20253164556962025,100,2,1.2,1.5,1.0,0.05,0.05,0.19976012793176975
8473.T,2,1.2,2.0,0.6,0.05,0.02,0.2,0.1531914893617021,120,0.14984006397441024,0.2661290322580645,0.2175824175824176,124,2,1.2,2.0,0.6,0.05,0.02,0.2173504224683753
8697.T,3,1.2,1.5,0.6,0.05,0.05,0.18110236220472442,0.1786407766990291,127,0.17671088240118094,0.19811320754716982,0.1976470588235294,106,3,1.2,1.5,0.6,0.05,0.05,0.19741000877963127
8729.T,1,1.2,2.0,1.0,0.05,0.05,0.5714285714285714,0.8400000000000001,49,0.7991470078635213,0.21212121212121213,0.16470588235294117,66,1,1.2,2.0,1.0,0.05,0.05,0.1613662227416726
8766.T,5,1.2,2.0,0.8,0.05,0.05,0.5533980582524272,0.7599999999999999,103,0.7426855344818595,0.3103448275862069,0.2745762711864407,87,5,1.2,2.0,0.8,0.05,0.05,0.26971211515393845
9227.T,5,1.2,2.0,0.6,0.02,0.02,0.23655913978494625,0.18857142857142856,93,0.18571726239081834,0.3125,0.27631578947368424,112,5,1.2,2.0,0.6,0.02,0.02,0.27243647995347314
9432.T,2,1.2,2.0,1.0,0.05,0.02,0.7407407407407407,4.0,27,1.7124578739932594,0.5084745762711864,0.8571428571428571,59,2,1.2,2.0,1.0,0.05,0.02,0.620027850928594
9433.T,1,1.2,1.5,0.8,0.02,0.02,0.3176470588235294,0.3789473684210526,85,0.3719671347695023,0.29906542056074764,0.3413333333333333,107,1,1.2,1.5,0.8,0.02,0.02,0.3409239516702203
9501.T,5,1.2,2.0,0.6,0.05,0.02,0.3697478991596639,0.3616438356164383,119,0.3516246834599494,0.22321428571428573,0.17857142857142858,112,5,1.2,2.0,0.6,0.05,0.02,0.17222995859127613
9843.T,2,1.2,1.5,0.6,0.02,0.02,0.35507246376811596,0.45057471264367815,138,0.4399211806137851,0.35772357723577236,0.45128205128205123,123,2,1.2,1.5,0.6,0.02,0.02,0.445035221721411
9984.T,3,1.2,2.0,1.0,0.05,0.05,0.5263157894736842,0.6857142857142857,76,0.6659558398862677,0.1553398058252427,0.11162790697674418,103,3,1.2,2.0,1.0,0.05,0.05,0.11022717349841671
