ts,code,px,vwap
2025-10-07 10:05:29,7182,0.000,0.000
2025-10-07 10:05:29,5406,0.000,0.000
2025-10-07 10:05:29,8697,0.000,0.000
2025-10-07 10:05:29,2502,0.000,0.000
2025-10-07 10:05:29,6752,0.000,0.000
2025-10-07 10:05:29,4528,0.000,0.000
2025-10-07 10:05:29,3436,0.000,0.000
2025-10-07 10:05:29,6965,0.000,0.000
2025-10-07 10:05:29,5076,0.000,0.000
2025-10-07 10:05:29,4751,0.000,0.000
2025-10-07 10:05:29,8801,0.000,0.000
2025-10-07 10:05:29,4503,0.000,0.000
2025-10-07 10:05:29,9023,0.000,0.000
2025-10-07 10:05:29,3003,0.000,0.000
2025-10-07 10:05:29,7267,0.000,0.000
2025-10-07 10:05:29,9508,0.000,0.000
2025-10-07 10:05:29,8331,0.000,0.000
2025-10-07 10:05:29,8308,0.000,0.000
2025-10-07 10:05:29,6178,0.000,0.000
2025-10-07 10:05:29,3092,0.000,0.000
2025-10-07 10:05:29,3853,0.000,0.000
2025-10-07 10:05:29,9009,0.000,0.000
2025-10-07 10:05:29,7752,0.000,0.000
2025-10-07 10:05:29,1861,0.000,0.000
2025-10-07 10:05:29,2801,0.000,0.000
2025-10-07 10:05:29,3289,0.000,0.000
2025-10-07 10:05:29,8601,0.000,0.000
2025-10-07 10:05:29,8593,0.000,0.000
2025-10-07 10:05:29,3697,0.000,0.000
2025-10-07 10:05:29,3407,0.000,0.000
2025-10-07 10:05:29,7272,0.000,0.000
2025-10-07 10:05:29,8750,0.000,0.000
2025-10-07 10:05:29,9509,0.000,0.000
2025-10-07 10:05:29,7186,0.000,0.000
2025-10-07 10:05:29,9506,0.000,0.000
2025-10-07 10:05:29,8604,0.000,0.000
2025-10-07 10:05:29,7261,0.000,0.000
2025-10-07 10:05:29,7951,0.000,0.000
2025-10-07 10:05:29,7762,0.000,0.000
2025-10-07 10:05:29,4612,0.000,0.000
2025-10-07 10:05:29,5019,0.000,0.000
2025-10-07 10:05:29,3402,0.000,0.000
2025-10-07 10:05:29,8113,0.000,0.000
2025-10-07 10:05:29,7532,0.000,0.000
2025-10-07 10:05:29,4755,0.000,0.000
2025-10-07 10:05:29,3231,0.000,0.000
2025-10-07 10:05:29,5020,0.000,0.000
2025-10-07 10:05:29,7167,0.000,0.000
2025-10-07 10:05:29,9504,0.000,0.000
2025-10-07 10:05:29,4188,0.000,0.000
2025-10-07 10:05:29,8698,0.000,0.000
2025-10-07 10:05:29,3861,0.000,0.000
2025-10-07 10:05:29,4446,0.000,0.000
2025-10-07 10:05:29,9501,0.000,0.000
2025-10-07 10:05:29,2127,0.000,0.000
2025-10-07 10:05:29,8524,0.000,0.000
2025-10-07 10:05:29,8848,0.000,0.000
2025-10-07 10:05:29,5401,0.000,0.000
2025-10-07 10:05:29,5535,0.000,0.000
2025-10-07 10:05:29,4902,0.000,0.000
2025-10-07 10:05:29,8515,0.000,0.000
2025-10-07 10:05:29,4005,0.000,0.000
2025-10-07 10:05:29,9831,0.000,0.000
2025-10-07 10:05:29,4689,0.000,0.000
2025-10-07 10:05:29,7211,0.000,0.000
2025-10-07 10:05:29,7205,0.000,0.000
2025-10-07 10:05:29,7201,0.000,0.000
2025-10-07 10:05:29,6472,0.000,0.000
2025-10-07 10:05:29,8410,0.000,0.000
2025-10-07 10:05:29,2181,0.000,0.000
2025-10-07 10:05:29,3656,0.000,0.000
2025-10-07 10:05:29,9434,0.000,0.000
2025-10-07 10:05:29,8729,0.000,0.000
2025-10-07 10:05:29,9432,0.000,0.000
2025-10-07 10:05:29,9424,0.000,0.000
2025-10-07 10:05:29,3315,0.000,0.000
2025-10-07 10:05:29,6740,0.000,0.000
