code,注目,コード,銘柄名,M,市場,貸借区分,T,現在値,前日比,前日比率,出来高,ティック数,始値,高値,安値,時刻,一般信用売(1日),特別空売り料,逆日歩,一人当たり売建可能数量
4446.T,,4446,ＬＩＮＫ－Ｕグループ,0,東Ｐ,貸借,▼,"1,685.00",164,10.78%,"2,378,900","10,426","1,761.00","1,814.00","1,557.00",11:30,✕,-,-,0
6525.T,,6525,ＫＯＫＵＳＡＩＥＬＥＣＴＲＩＣ,0,東Ｐ,貸借,▲,"4,350.00",146,3.47%,"2,298,200","9,902","4,171.00","4,350.00","4,158.00",11:30,〇,-,-,"102,600"
4755.T,,4755,楽天グループ,0,東Ｐ,貸借,▲,991,26.3,2.73%,"7,490,600","9,322",975,991,971.1,11:30,✕,-,-,0
3086.T,,3086,Ｊ．フロントリテイリング,0,東Ｐ,貸借,▲,"2,409.00",-76,-3.06%,"2,958,300","9,311","2,385.00","2,463.00","2,357.00",11:30,〇,-,0.05,"40,600"
6723.T,,6723,ルネサスエレクトロニクス,0,東Ｐ,貸借,▲,"1,784.50",74,4.33%,"5,788,900","9,236","1,741.50","1,801.50","1,740.00",11:30,〇,-,-,"121,500"
6146.T,,6146,ディスコ,0,東Ｐ,貸借,▲,"51,630.00",130,0.25%,"1,609,900","9,012","51,390.00","51,830.00","50,740.00",11:30,〇,-,1.8,"5,300"
8035.T,,8035,東京エレクトロン,0,東Ｐ,貸借,▼,"28,610.00",170,0.60%,"1,911,000","8,867","28,025.00","28,630.00","27,930.00",11:30,〇,-,-,"58,400"
7532.T,,7532,パンパシフィックＨＤ,0,東Ｐ,貸借,▲,960.1,-14.8,-1.52%,"4,051,000","8,481",959.9,968.5,942,11:30,〇,-,-,0
6330.T,,6330,東洋エンジニア,0,東Ｐ,貸借,▲,"1,762.00",117,7.11%,"3,477,300","8,248","1,720.00","1,805.00","1,688.00",11:30,〇,-,-,0
7203.T,,7203,トヨタ自動車,0,東Ｐ,貸借,▼,"2,896.50",25,0.87%,"6,795,100","7,779","2,898.00","2,919.50","2,888.50",11:30,〇,-,-,"509,500"
6326.T,,6326,クボタ,0,東Ｐ,貸借,▲,"1,999.00",99,5.21%,"3,684,200","7,458","1,926.00","2,024.00","1,923.00",11:30,〇,-,-,"33,500"
3350.T,,3350,メタプラネット,0,東Ｓ,信用,▲,462,-20,-4.15%,"26,887,300","7,369",487,493,458,11:30,〇,0.1,-,"1,260,000"
