code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
4760.T,2,1.2,2.0,0.6,0.02,0.02,0.6666666666666666,1.2,9,1.1987205117952817
4888.T,1,0.8,1.5,0.6,0.05,0.02,0.8333333333333334,999.0,6,2.6625799573560776
5246.T,3,1.2,1.5,0.6,0.02,0.02,0.20588235294117646,0.21,102,0.20715865118850194
5250.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
5578.T,1,1.2,2.0,0.8,0.02,0.02,0.5833333333333334,0.8400000000000001,12,0.8391043582566976
5721.T,1,1.0,1.5,0.8,0.02,0.02,0.5238095238095238,0.8148148148148148,21,0.7323560767590619
5858.T,3,1.2,2.0,0.6,0.05,0.05,0.4166666666666667,0.42857142857142855,12,0.4281144684983151
5870.T,2,1.2,2.0,0.6,0.02,0.02,0.42105263157894735,0.43636363636363634,19,0.4358983679255571
5950.T,2,1.2,2.0,0.6,0.05,0.02,0.75,1.7999999999999998,4,1.798080767692923
5952.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,1,0.0
5987.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
6098.T,5,1.2,2.0,0.6,0.05,0.05,0.3246753246753247,0.28846153846153844,77,0.2881539691815581
6166.T,5,1.2,2.0,1.0,0.02,0.02,0.34615384615384615,0.33749999999999997,26,0.3173083707693393
6173.T,5,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
6265.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,1,0.0
6323.T,5,1.2,1.5,1.0,0.02,0.05,0.2894736842105263,0.32592592592592595,114,0.3255350232962174
6433.T,3,1.2,1.5,1.0,0.05,0.02,0.43283582089552236,0.627027027027027,67,0.6097940747390864
6518.T,5,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
6558.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
6775.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,3,
6803.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,
