code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
3541.T,1,1.2,2.0,0.6,0.05,0.02,0.6,0.8999999999999999,10,0.8990403838464615,0.36666666666666664,0.388235294117647,30,1,1.2,2.0,0.6,0.05,0.02,0.3469980428881079
3608.T,3,1.2,1.5,1.0,0.02,0.05,0.2647058823529412,0.288,68,0.28765458422174844,0.2967032967032967,0.33749999999999997,91,3,1.2,1.5,1.0,0.02,0.05,0.33709521588486147
3647.T,2,1.2,1.5,0.8,0.02,0.05,0.36666666666666664,0.5176470588235293,30,0.4626024015262036,0.10126582278481013,0.0955223880597015,79,2,1.2,1.5,0.8,0.02,0.05,0.0900327337157272
365A.T,1,1.2,2.0,1.0,0.02,0.05,0.3541666666666667,0.36428571428571427,48,0.3286814306535451,0.25,0.2571428571428571,12,1,1.2,2.0,1.0,0.02,0.05,0.19978675196588033
3661.T,5,1.2,1.5,1.0,0.02,0.05,0.1566265060240964,0.14857142857142858,83,0.14839323789217182,0.24096385542168675,0.25396825396825395,83,5,1.2,1.5,1.0,0.02,0.05,0.253663654516533
381A.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,1,1,0.8,1.5,0.6,0.02,0.02,0.0
3895.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.375,0.32000000000000006,8,1,0.8,1.5,0.6,0.02,0.02,0.31950959488272923
3902.T,5,1.2,1.5,0.8,0.02,0.05,0.15384615384615385,0.14545454545454545,39,0.14528009304128708,0.2318840579710145,0.25098039215686274,69,5,1.2,1.5,0.8,0.02,0.05,0.24121977712515594
3905.T,5,1.2,2.0,0.8,0.05,0.02,0.21052631578947367,0.16179775280898875,114,0.15982940157270425,0.3103448275862069,0.2745762711864407,87,5,1.2,2.0,0.8,0.05,0.02,0.26971211515393845
3926.T,1,0.8,1.5,0.6,0.02,0.02,0.5,999.0,2,0.5325159914712154,0.3333333333333333,0.26666666666666666,6,1,0.8,1.5,0.6,0.02,0.02,0.2662579957356076
3933.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,0.2857142857142857,0.21333333333333335,7,1,0.8,1.5,0.6,0.02,0.02,0.2130063965884861
3991.T,2,1.2,2.0,0.6,0.02,0.02,0.5833333333333334,0.8400000000000001,12,0.8391043582566976,0.38,0.36774193548387096,50,2,1.2,2.0,0.6,0.02,0.02,0.36734983425984447
3996.T,1,1.2,1.5,0.8,0.02,0.02,0.6,1.2,5,1.1985607675906185,0.2,0.23999999999999996,15,1,1.2,1.5,0.8,0.02,0.02,0.19976012793176975
4017.T,2,1.2,1.5,1.0,0.02,0.02,0.4,0.5333333333333333,15,0.5326936744847194,0.4,0.5333333333333333,15,2,1.2,1.5,1.0,0.02,0.02,0.5326936744847194
4057.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.22857142857142856,0.1580246913580247,35,1,0.8,1.5,0.6,0.02,0.02,0.15778251599147122
4172.T,3,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,0.0,0.0,1,3,0.8,1.5,0.6,0.02,0.02,0.0
4175.T,3,1.2,1.5,1.0,0.02,0.02,0.6,1.2,5,1.1985607675906185,0.16666666666666666,0.16,6,3,1.2,1.5,1.0,0.02,0.02,0.1598081023454158
4176.T,1,1.2,1.5,0.8,0.02,0.05,0.23076923076923078,0.23999999999999996,13,0.23971215351812372,0.23809523809523808,0.25,42,1,1.2,1.5,0.8,0.02,0.05,0.24970015991471214
4241.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
4343.T,1,1.2,1.5,0.6,0.02,0.02,0.5,0.7999999999999999,2,0.799040511727079,0.20689655172413793,0.26666666666666666,29,1,1.2,1.5,0.6,0.02,0.02,0.20844535088532493
4378.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,1.0,999.0,1,1,0.8,1.5,0.6,0.02,0.02,
