code,ATR_n_TRAIN,TPk_TRAIN,SLk_TRAIN,J_th_TRAIN,dJ_th_TRAIN,vEMA_th_TRAIN,winrate_TRAIN,pf_TRAIN,trades_TRAIN,PF_eff_TRAIN,winrate_TEST,pf_TEST,trades_TEST,ATR_n_TEST,TPk_TEST,SLk_TEST,J_th_TEST,dJ_th_TEST,vEMA_th_TEST,PF_eff_TEST
6178.T,3,1.2,2.0,0.8,0.02,0.05,0.32517482517482516,0.28911917098445594,286,0.28881090051026226,0.1827956989247312,0.14782608695652172,93,3,1.2,2.0,0.8,0.02,0.05,0.13406742566131444
6232.T,2,1.2,2.0,0.6,0.05,0.02,0.3442622950819672,0.3181818181818182,305,0.31466413434626145,0.2545454545454545,0.21265822784810126,110,2,1.2,2.0,0.6,0.05,0.02,0.20465959957480423
6268.T,2,1.2,2.0,0.8,0.05,0.05,0.20307692307692307,0.15714285714285714,325,0.15273272930210155,0.21686746987951808,0.16615384615384612,83,2,1.2,2.0,0.8,0.05,0.05,0.1659766862485775
6301.T,5,1.2,2.0,1.0,0.02,0.02,0.4163265306122449,0.4402877697841726,245,0.4275157070039118,0.12790697674418605,0.09428571428571428,86,5,1.2,2.0,1.0,0.02,0.02,0.08790617086498737
6315.T,5,1.2,1.5,0.8,0.05,0.05,0.16015625,0.15327102803738316,256,0.15237516735260576,0.25862068965517243,0.2857142857142857,58,5,1.2,1.5,0.8,0.05,0.05,0.27873506223037636
6323.T,2,1.2,2.0,1.0,0.05,0.02,0.2764505119453925,0.23478260869565218,293,0.22900085248919305,0.3854166666666667,0.4036363636363636,96,2,1.2,2.0,1.0,0.05,0.02,0.3758699909866563
6324.T,2,1.2,1.5,0.6,0.05,0.05,0.14195583596214512,0.1323529411764706,317,0.13219420230778883,0.2079207920792079,0.22105263157894736,101,2,1.2,1.5,0.6,0.05,0.05,0.20974813432835823
6326.T,5,1.2,1.5,1.0,0.02,0.05,0.25892857142857145,0.2812121212121212,224,0.27918282939861794,0.07692307692307693,0.0717948717948718,91,5,1.2,1.5,1.0,0.02,0.05,0.06658670931058991
6330.T,5,1.2,2.0,0.8,0.05,0.05,0.4032258064516129,0.41379310344827586,248,0.4049731458767844,0.5737704918032787,0.84,61,5,1.2,2.0,0.8,0.05,0.05,0.8068311137083628
6361.T,5,1.2,2.0,0.6,0.05,0.05,0.26714801444043323,0.2187192118226601,277,0.2184860046129332,0.4507042253521127,0.4923076923076923,71,5,1.2,2.0,0.6,0.05,0.05,0.4917827740698594
6367.T,5,1.2,1.5,1.0,0.05,0.02,0.22727272727272727,0.23529411764705882,308,0.23501191521384673,0.10989010989010989,0.1,91,5,1.2,1.5,1.0,0.05,0.02,0.0986469767564295
6460.T,5,1.2,2.0,0.6,0.02,0.05,0.2746478873239437,0.22829268292682925,284,0.22694223281561168,0.29473684210526313,0.2625,95,5,1.2,2.0,0.6,0.02,0.05,0.250478912912447
6471.T,2,1.2,1.5,0.8,0.02,0.05,0.21942446043165467,0.22697674418604652,278,0.22461507472512357,0.36923076923076925,0.4799999999999999,65,2,1.2,1.5,0.8,0.02,0.05,0.46773103125487553
6472.T,1,1.2,1.5,0.8,0.05,0.05,0.21951219512195122,0.22929936305732485,205,0.22473014392324098,0.3492063492063492,0.44,63,1,1.2,1.5,0.8,0.05,0.05,0.4287534453169692
6479.T,2,1.2,2.0,0.6,0.05,0.05,0.34814814814814815,0.3222857142857143,270,0.320112863945331,0.13861386138613863,0.09767441860465116,101,2,1.2,2.0,0.6,0.05,0.05,0.09644877681111466
6501.T,3,1.2,2.0,0.6,0.02,0.02,0.3052959501557632,0.2660633484162896,321,0.2633959868967211,0.13333333333333333,0.09473684210526315,90,3,1.2,2.0,0.6,0.02,0.02,0.09220927013809861
6503.T,5,1.2,1.5,0.6,0.02,0.05,0.3110236220472441,0.36321839080459767,254,0.3607097167225099,0.0625,0.05333333333333333,96,5,1.2,1.5,0.6,0.02,0.05,0.053269367448471924
6506.T,5,1.2,2.0,0.8,0.05,0.02,0.315625,0.2792626728110599,320,0.276417286966492,0.21052631578947367,0.16,95,5,1.2,2.0,0.8,0.05,0.02,0.15982940157270425
6525.T,3,1.2,2.0,1.0,0.02,0.02,0.30149253731343284,0.26120689655172413,335,0.2586982301096656,0.13131313131313133,0.09285714285714286,99,3,1.2,2.0,1.0,0.02,0.02,0.09060096891475969
6526.T,2,1.2,2.0,0.8,0.05,0.02,0.29591836734693877,0.2571428571428571,294,0.2519050350874143,0.2289156626506024,0.19322033898305085,83,2,1.2,2.0,0.8,0.05,0.02,0.17793507596961214
6532.T,2,1.2,2.0,0.6,0.02,0.02,0.3333333333333333,0.3,318,0.29968012794882043,0.3113207547169811,0.275,106,2,1.2,2.0,0.6,0.02,0.02,0.27094367732359115
6590.T,3,1.2,1.5,1.0,0.02,0.02,0.24761904761904763,0.26440677966101694,315,0.26297535828992474,0.1276595744680851,0.11707317073170731,94,3,1.2,1.5,1.0,0.02,0.02,0.11693275781371885
6594.T,3,1.2,2.0,0.6,0.02,0.02,0.3848797250859107,0.38181818181818183,291,0.37501870760075856,0.3106796116504854,0.2742857142857143,103,3,1.2,2.0,0.6,0.02,0.02,0.27013419984119025
6701.T,5,1.2,2.0,1.0,0.02,0.05,0.38235294117647056,0.37655172413793103,238,0.3710325393652063,0.10752688172043011,0.07228915662650602,93,5,1.2,2.0,1.0,0.02,0.05,0.07221207902381217
6702.T,5,1.2,2.0,0.6,0.05,0.02,0.32142857142857145,0.2887700534759358,280,0.28390748963572465,0.13414634146341464,0.103125,82,5,1.2,2.0,0.6,0.05,0.02,0.09285863119540917
6723.T,3,1.2,2.0,0.8,0.02,0.02,0.4,0.4021621621621621,310,0.39957350393176067,0.30666666666666664,0.2875,75,3,1.2,2.0,0.8,0.02,0.02,0.2651016516470335
6752.T,5,1.2,2.0,0.6,0.02,0.05,0.3728813559322034,0.3616438356164383,236,0.3563763683715704,0.14130434782608695,0.104,92,5,1.2,2.0,0.6,0.02,0.05,0.09862890286923204
6753.T,5,1.2,2.0,0.6,0.05,0.05,0.38235294117647056,0.37142857142857144,272,0.3710325393652063,0.313953488372093,0.28928571428571426,86,5,1.2,2.0,0.6,0.05,0.05,0.27428350693620857
6754.T,1,1.2,1.5,0.6,0.02,0.02,0.23616236162361623,0.25098039215686274,271,0.24704634179001475,0.12987012987012986,0.12307692307692308,77,1,1.2,1.5,0.6,0.02,0.02,0.11925977786971327
6758.T,5,1.2,2.0,0.6,0.05,0.05,0.29435483870967744,0.2502857142857143,248,0.25001884960301596,0.3026315789473684,0.27599999999999997,76,5,1.2,2.0,0.6,0.05,0.05,0.2600997336914291
6762.T,5,1.2,2.0,0.6,0.02,0.05,0.3481781376518219,0.3286624203821656,247,0.320155167746566,0.16091954022988506,0.11830985915492959,87,5,1.2,2.0,0.6,0.02,0.05,0.11494580250091746
6814.T,3,1.2,1.5,0.6,0.02,0.05,0.23076923076923078,0.24390243902439024,325,0.23971215351812372,0.2631578947368421,0.2898550724637681,95,3,1.2,1.5,0.6,0.02,0.05,0.2853716113310996
6857.T,3,1.2,2.0,0.6,0.02,0.05,0.43891402714932126,0.4932203389830508,221,0.46885439372638044,0.36923076923076925,0.36,65,3,1.2,2.0,0.6,0.02,0.05,0.3508450278425216
6861.T,5,1.2,2.0,0.6,0.02,0.05,0.2053872053872054,0.15508474576271186,297,0.15491938817693265,0.24509803921568626,0.2,102,5,1.2,2.0,0.6,0.02,0.05,0.19459748568105228
6869.T,2,1.2,2.0,1.0,0.05,0.02,0.25245901639344265,0.20352422907488985,305,0.202415525018063,0.1188118811881188,0.08372093023255812,101,2,1.2,2.0,1.0,0.05,0.02,0.08081261877271564
6871.T,3,1.2,2.0,0.6,0.02,0.02,0.26366559485530544,0.21866666666666665,311,0.21461808289784526,0.28421052631578947,0.253125,95,3,1.2,2.0,0.6,0.02,0.02,0.2379812780770045
6902.T,2,1.2,2.0,0.8,0.02,0.02,0.33222591362126247,0.30303030303030304,301,0.2981891820386273,0.26262626262626265,0.22608695652173913,99,2,1.2,2.0,0.8,0.02,0.02,0.21347077607313245
6920.T,2,1.2,1.5,0.8,0.02,0.05,0.24344569288389514,0.25870646766169153,267,0.2571169963478225,0.21875,0.23333333333333334,96,2,1.2,1.5,0.8,0.02,0.05,0.22373134328358213
6954.T,1,1.2,1.5,0.6,0.02,0.02,0.2689655172413793,0.2957345971563981,290,0.2939866033712838,0.1650485436893204,0.16190476190476188,103,1,1.2,1.5,0.6,0.02,0.02,0.1579498685972133
6963.T,5,1.2,2.0,1.0,0.05,0.05,0.36923076923076925,0.35776397515527947,260,0.3508450278425216,0.171875,0.132,64,5,1.2,2.0,1.0,0.05,0.05,0.12439552480894435
6965.T,5,1.2,2.0,0.8,0.05,0.05,0.3346613545816733,0.3054545454545454,251,0.3014746197329451,0.18055555555555555,0.13220338983050847,72,5,1.2,2.0,0.8,0.05,0.05,0.13206242926558193
6971.T,2,1.2,2.0,0.6,0.05,0.02,0.3611111111111111,0.3447513812154696,288,0.338768840289971,0.1452991452991453,0.10736842105263157,117,2,1.2,2.0,0.6,0.05,0.02,0.10189124350259898
6976.T,1,1.2,1.5,0.6,0.05,0.02,0.21875,0.22512562814070353,256,0.22373134328358213,0.20512820512820512,0.2098360655737705,78,1,1.2,1.5,0.6,0.05,0.02,0.20620400302634292
6981.T,3,1.2,2.0,0.6,0.05,0.05,0.24567474048442905,0.19631336405529953,289,0.19520448701253446,0.2054794520547945,0.15789473684210525,73,3,1.2,2.0,0.6,0.05,0.05,0.1550069627321485
6988.T,3,1.2,2.0,0.8,0.02,0.02,0.3072100313479624,0.2660633484162896,319,0.26577966098628425,0.09401709401709402,0.06407766990291262,117,3,1.2,2.0,0.8,0.02,0.02,0.062197762404472175
7003.T,5,1.2,2.0,0.6,0.05,0.05,0.35877862595419846,0.3418181818181818,262,0.33535633365701345,0.18811881188118812,0.14250000000000002,101,5,1.2,2.0,0.6,0.05,0.05,0.13887615685433144
7011.T,1,1.2,1.5,1.0,0.05,0.05,0.28054298642533937,0.31392405063291134,221,0.3115755454533264,0.1774193548387097,0.17254901960784313,62,1,1.2,1.5,1.0,0.05,0.05,0.172342071156821
7012.T,3,1.2,2.0,1.0,0.05,0.02,0.33451957295373663,0.3016042780748663,281,0.3012826954779586,0.13131313131313133,0.09176470588235294,99,3,1.2,2.0,1.0,0.05,0.02,0.09060096891475969
7013.T,2,1.2,2.0,1.0,0.05,0.05,0.425531914893617,0.47244094488188976,235,0.44397055992417844,0.14666666666666667,0.103125,75,2,1.2,2.0,1.0,0.05,0.05,0.10301504398240706
7167.T,3,1.2,2.0,0.6,0.05,0.02,0.3246753246753247,0.2912621359223301,308,0.2881539691815581,0.22916666666666666,0.18591549295774648,96,3,1.2,2.0,0.6,0.05,0.02,0.17818818418578514
7182.T,5,1.2,2.0,0.8,0.05,0.05,0.25984251968503935,0.21405405405405406,254,0.21041370685768246,0.14102564102564102,0.10476190476190475,78,5,1.2,2.0,0.8,0.05,0.05,0.09840243007274702
7186.T,5,1.2,2.0,1.0,0.02,0.02,0.33760683760683763,0.30980392156862746,234,0.30548038848976544,0.15841584158415842,0.11707317073170731,101,5,1.2,2.0,1.0,0.02,0.02,0.11282075405132065
7201.T,1,1.2,2.0,0.6,0.05,0.05,0.33195020746887965,0.3076923076923077,241,0.29781876069448,0.32142857142857145,0.29454545454545455,84,1,1.2,2.0,0.6,0.05,0.05,0.28390748963572465
7202.T,1,1.2,1.5,1.0,0.05,0.02,0.14772727272727273,0.13991031390134528,264,0.13850035536602703,0.2826086956521739,0.325,46,1,1.2,1.5,1.0,0.05,0.02,0.31477353492278864
7203.T,5,1.2,2.0,0.6,0.02,0.02,0.3784722222222222,0.3674157303370786,288,0.3649735636471669,0.3625,0.348,80,5,1.2,2.0,0.6,0.02,0.02,0.34081269453003116
