code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD,ranking,stamp
5020.T,5,1.2,2.0,0.6,0.05,0.05,0.2222222222222222,0.1714285714285714,117,0.171245787399326,0.3069306930693069,0.2657142857142857,101.0,5.0,1.2,2.0,0.6,0.05,0.05,0.2654309704689553,DEKIDAKA,20251015
5108.T,2,1.2,1.5,1.0,0.05,0.02,0.2347826086956521,0.2511627906976744,115,0.2451601570071719,0.2195121951219512,0.2273684210526315,123.0,2.0,1.2,1.5,1.0,0.05,0.02,0.2247301439232409,DEKIDAKA,20251015
5401.T,5,1.2,1.5,0.6,0.05,0.05,0.2452830188679245,0.26,106,0.2596881663113006,0.5362318840579711,0.925,69.0,5.0,1.2,1.5,0.6,0.05,0.05,0.9238905916844352,DEKIDAKA,20251015
5595.T,2,1.2,2.0,0.6,0.05,0.02,0.3577235772357723,0.3384615384615384,123,0.3338209020189392,0.2357723577235772,0.1870967741935483,123.0,2.0,1.2,2.0,0.6,0.05,0.02,0.1849090151173573,DEKIDAKA,20251015
5713.T,2,1.2,1.5,0.8,0.02,0.05,0.3877551020408163,0.5152542372881356,98,0.5060589907604833,0.3140495867768595,0.3662650602409639,121.0,2.0,1.2,1.5,0.8,0.02,0.05,0.3658257764533615,DEKIDAKA,20251015
5721.T,1,1.0,1.5,0.8,0.02,0.02,0.5238095238095238,0.8148148148148148,21,0.7323560767590619,0.2258064516129032,0.1944444444444444,31.0,1.0,1.0,1.5,0.8,0.02,0.02,0.1941853233830845,DEKIDAKA,20251015
5801.T,2,1.2,2.0,0.6,0.02,0.02,0.3928571428571428,0.4061538461538461,112,0.3878213420514147,0.2049180327868852,0.15625,122.0,2.0,1.2,2.0,0.6,0.02,0.02,0.1544742927571239,DEKIDAKA,20251015
5803.T,2,1.2,2.0,0.6,0.02,0.02,0.4016393442622951,0.4083333333333333,122,0.402310308753211,0.2932330827067669,0.26,133.0,2.0,1.2,2.0,0.6,0.02,0.02,0.2486707444681701,DEKIDAKA,20251015
6177.T,1,1.2,1.5,0.8,0.02,0.05,0.4,0.576,45,0.5326936744847194,0.34,0.4121212121212121,50.0,1.0,1.2,1.5,0.8,0.02,0.05,0.4116269302836468,DEKIDAKA,20251015
6178.T,3,1.2,2.0,0.8,0.02,0.05,0.3162393162393162,0.2810126582278481,117,0.2772041183526589,0.3652173913043478,0.35,115.0,3.0,1.2,2.0,0.8,0.02,0.05,0.3448374075027524,DEKIDAKA,20251015
6315.T,5,1.2,1.5,0.8,0.05,0.02,0.208,0.2122448979591836,125,0.2098490232818591,0.2075471698113207,0.2095238095238095,106.0,5.0,1.2,1.5,0.8,0.05,0.02,0.2092725149761397,DEKIDAKA,20251015
6323.T,5,1.2,1.5,1.0,0.02,0.05,0.2894736842105263,0.3259259259259259,114,0.3255350232962174,0.3636363636363636,0.4571428571428571,88.0,5.0,1.2,1.5,1.0,0.02,0.05,0.4565945781297594,DEKIDAKA,20251015
6326.T,5,1.2,1.5,1.0,0.02,0.05,0.3762376237623762,0.4903225806451613,101,0.4819609435814127,0.1188118811881188,0.109090909090909,101.0,5.0,1.2,1.5,1.0,0.02,0.05,0.1077357993339881,DEKIDAKA,20251015
6330.T,5,1.2,2.0,1.0,0.02,0.05,0.3853211009174312,0.3818181818181818,109,0.3757183693686705,0.4705882352941176,0.5581395348837209,85.0,5.0,1.2,2.0,1.0,0.02,0.05,0.5327646719090141,DEKIDAKA,20251015
6501.T,3,1.2,1.5,0.6,0.05,0.02,0.2631578947368421,0.2926829268292683,114,0.2853716113310996,0.0887096774193548,0.08,124.0,3.0,1.2,1.5,0.6,0.05,0.02,0.077782704681397,DEKIDAKA,20251015
6503.T,5,1.2,1.5,0.6,0.02,0.05,0.2277227722772277,0.2358974358974359,101,0.2356145098682412,0.152,0.1447619047619047,125.0,5.0,1.2,1.5,0.6,0.02,0.05,0.1432242426680613,DEKIDAKA,20251015
6506.T,5,1.2,2.0,0.8,0.02,0.02,0.3884297520661157,0.3916666666666666,121,0.3806747571241774,0.4032258064516129,0.410958904109589,124.0,5.0,1.2,2.0,0.8,0.02,0.02,0.4049731458767844,DEKIDAKA,20251015
6525.T,3,1.2,2.0,1.0,0.02,0.05,0.4310344827586206,0.4615384615384615,116,0.4540607999224552,0.1984126984126984,0.1530612244897959,126.0,3.0,1.2,2.0,1.0,0.02,0.05,0.1483564989845646,DEKIDAKA,20251015
6526.T,2,1.2,2.0,1.0,0.05,0.02,0.3333333333333333,0.3069767441860465,132,0.2996801279488204,0.3191489361702128,0.2903225806451613,94.0,2.0,1.2,2.0,1.0,0.05,0.02,0.2809501199520192,DEKIDAKA,20251015
6701.T,5,1.2,1.5,1.0,0.05,0.05,0.3068181818181818,0.36,88,0.3536736691251005,0.1009174311926605,0.0897959183673469,109.0,5.0,1.2,1.5,1.0,0.05,0.05,0.0896882207040598,DEKIDAKA,20251015
6702.T,5,1.2,2.0,1.0,0.05,0.02,0.4107142857142857,0.4246153846153845,112,0.4177359359286589,0.2065217391304347,0.1583333333333333,92.0,5.0,1.2,2.0,1.0,0.05,0.02,0.1559978748226737,DEKIDAKA,20251015
6723.T,5,1.2,2.0,0.8,0.02,0.05,0.4158415841584158,0.4421052631578947,101,0.4266632330118799,0.4554455445544554,0.5207547169811321,101.0,5.0,1.2,2.0,0.8,0.02,0.05,0.5012831231143906,DEKIDAKA,20251015
6740.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,4,,1.0,999.0,3.0,1.0,0.8,1.5,0.6,0.02,0.02,,DEKIDAKA,20251015
6752.T,3,1.2,2.0,0.6,0.05,0.05,0.4563106796116505,0.5035714285714286,103,0.5030345004855201,0.2252252252252252,0.1785714285714285,111.0,3.0,1.2,2.0,0.6,0.05,0.05,0.174232632528384,DEKIDAKA,20251015
6758.T,5,1.2,2.0,0.6,0.02,0.05,0.2452830188679245,0.1974683544303797,106,0.1947920831667333,0.25,0.1999999999999999,92.0,5.0,1.2,2.0,0.6,0.02,0.05,0.1997867519658803,DEKIDAKA,20251015
6762.T,1,1.2,1.5,0.6,0.02,0.05,0.3663366336633663,0.4624999999999999,101,0.4619452958422175,0.1904761904761904,0.1904761904761904,105.0,1.0,1.2,1.5,0.6,0.02,0.05,0.1880095321710774,DEKIDAKA,20251015
6857.T,3,1.2,1.5,0.6,0.02,0.05,0.4615384615384615,0.7024390243902439,78,0.6848918671946391,0.2823529411764706,0.3199999999999999,85.0,3.0,1.2,1.5,0.6,0.02,0.05,0.3143765947778671,DEKIDAKA,20251015
6920.T,3,1.2,1.5,0.8,0.05,0.05,0.2653061224489796,0.2888888888888888,98,0.2885424070125563,0.1785714285714285,0.1818181818181818,112.0,3.0,1.2,1.5,0.8,0.05,0.05,0.1737044590711041,DEKIDAKA,20251015
6981.T,5,1.2,2.0,1.0,0.05,0.02,0.3739130434782609,0.3583333333333333,115,0.357951263938869,0.2110091743119266,0.1662650602409638,109.0,5.0,1.2,2.0,1.0,0.05,0.02,0.1602940219261133,DEKIDAKA,20251015
6993.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,3,,1.0,999.0,3.0,1.0,0.8,1.5,0.6,0.02,0.02,,DEKIDAKA,20251015
7011.T,1,1.2,2.0,0.6,0.02,0.05,0.2293577981651376,0.1829268292682926,109,0.1783810285409646,0.4105263157894737,0.4254545454545454,95.0,1.0,1.2,2.0,0.6,0.02,0.05,0.4174116067858571,DEKIDAKA,20251015
7012.T,3,1.2,2.0,1.0,0.02,0.05,0.3277310924369748,0.2925,119,0.2921881247500999,0.2894736842105263,0.2444444444444444,114.0,3.0,1.2,2.0,1.0,0.02,0.05,0.2441838079582982,DEKIDAKA,20251015
